"회사명","제목","공고링크","지역","경력","학력","마감일","고용형태","연봉정보"
"(주)운영","영업 물류 출하담당  정규직모집","https://www.saramin.co.krundefined","충남 천안시 서북구 외","경력무관 · 정규직","고졸↑","~01.16(목)","신입","면접 후 협의"
"(주)우진메트로","㈜우진메트로(의정부경전철) 시설부 궤도분야 신입 직원 채용","https://www.saramin.co.krundefined","경기 의정부시","신입 · 정규직","고졸↑","~12.31(화)","신입","면접 후 협의"
"도이그로코리아 주식회사","프로젝트 포워딩 Operations 신입 채용 (부산)","https://www.saramin.co.krundefined","부산 중구","신입 · 정규직","대학교(4년)↑","~01.10(금)","신입","면접 후 협의"
"(주)삼우","(주)삼우 당진공장 기계정비  생산직 채용","https://www.saramin.co.krundefined","충남 당진시","신입 · 경력 · 정규직","학력무관","~12.31(화)","신입","면접 후 협의"
"삼원FA(주)","(삼원FA) 경영지원팀 창고 관리 업무 사원 모집","https://www.saramin.co.krundefined","부산 해운대구","신입 · 정규직","고졸↑","~01.16(목)","신입","면접 후 협의"
"도이그로코리아 주식회사","프로젝트 포워딩 Operations 신입 채용 (서울)","https://www.saramin.co.krundefined","서울 중구","신입 · 정규직","대학교(4년)↑","~01.10(금)","신입","면접 후 협의"
"세무법인송림 서울지점","세무법인송림 서울점 인턴공고(추후 정직원전환 협의)","https://www.saramin.co.krundefined","서울 구로구","경력무관 · 계약직 외","학력무관","~01.16(목)","신입","10,030 원"
"(주)대일산업","블라인드 제작 현장생산 정규직 모집 (인쇄기 조작 및 생산)","https://www.saramin.co.krundefined","대구 동구 외","신입 · 정규직","학력무관","채용시","신입","2,590 만원"
"에이치라인해운(주)","[에이치라인해운] 영업본부 정산담당자 채용 (계약직)","https://www.saramin.co.krundefined","서울 종로구","신입 · 경력 · 계약직","고졸↑","~12.29(일)","신입","면접 후 협의"
"(주)비어케이","[비어케이] 주류 영업사원 채용(수도권 업소담당)","https://www.saramin.co.krundefined","서울 강남구 외","신입 · 경력 · 정규직","고졸↑","~12.29(일)","신입","면접 후 협의"
"(주)엘엑스글라스","[LX글라스] 2024년 12월 신입사원 수시채용","https://www.saramin.co.krundefined","서울 서초구","신입 · 정규직","대학교(4년)↑","~12.29(일)","신입","면접 후 협의"
"한국호야렌즈(주)","한국호야렌즈㈜ 안경 렌즈 영업부문 신입/경력사원 채용","https://www.saramin.co.krundefined","부산 부산진구","신입 · 경력 · 정규직","대학교(4년)↑","~02.15(토)","신입","면접 후 협의"
"쿠팡(주)","[쿠팡자회사 떠나요] 여행상품 B2B 영업 관리 및 기획 업무","https://www.saramin.co.krundefined","서울 성동구","신입 · 정규직","학력무관","채용시","신입","면접 후 협의"
"(주)케이에스엠","KSM 자동차 부품 설비보전팀 직원 채용","https://www.saramin.co.krundefined","경남 김해시","경력무관 · 정규직","학력무관","~01.16(목)","신입","면접 후 협의"
"두우해운(주)","해운 오퍼레이션 선박수속 업무 신입/경력직 채용[평택]","https://www.saramin.co.krundefined","경기 평택시","신입 · 경력 · 정규직","대학(2,3년)↑","~12.31(화)","신입","3,900 만원"
"건국대학교산학협력단","건국대학교 산학협력단 계약직원(행정지원직) 채용공고","https://www.saramin.co.krundefined","서울 광진구","경력무관 · 계약직","대학교(4년)↑","채용시","신입","면접 후 협의"
"대세산업(주)","재무회계팀 정규직 채용","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 정규직","학력무관","D-4","신입","면접 후 협의"
