"회사명","제목","공고링크","지역","경력","학력","마감일","고용형태","연봉정보"
"우정사업본부","2024년 제9회 진천우체국 기간제 상시계약집배원(농어촌) 채용","https://www.saramin.co.krundefined","충북 진천군","경력무관 · 계약직","학력무관","~12.31(화)","신입","면접 후 협의"
"(주)바이넥스","(주)바이넥스 인천(송도) 인사팀 신입/경력사원 모집","https://www.saramin.co.krundefined","인천 연수구","신입 · 경력 · 정규직 외","대학교(4년)↑","D-7","신입","면접 후 협의"
"렉스젠(주)","렉스젠(주) 전주지사 기술지원 사원모집","https://www.saramin.co.krundefined","전북 전주시 덕진구","경력무관 · 정규직","학력무관","~01.17(금)","신입","면접 후 협의"
"농협손해보험(주)","NH농협손해보험 일반계약직 채용 공고(재무심사팀)","https://www.saramin.co.krundefined","서울 서대문구","경력무관 · 계약직","학력무관","D-5","신입","면접 후 협의"
"우정사업본부","2024년 제10회 진천우체국 실적급 상시계약집배원 채용","https://www.saramin.co.krundefined","충북 진천군","경력무관 · 정규직 외","학력무관","~12.31(화)","신입","면접 후 협의"
"우정사업본부","2024년 제4회 안양우체국 주관 상시계약집배원(기간제) 채용","https://www.saramin.co.krundefined","경기 안양시","경력무관 · 계약직","학력무관","D-6","신입","면접 후 협의"
"농협손해보험(주)","NH농협손해보험 일반계약직 채용 공고(운용기획팀)","https://www.saramin.co.krundefined","서울 서대문구","경력무관 · 계약직","학력무관","D-5","신입","면접 후 협의"
"㈜유유제약","㈜유유제약 인사실(복지/시설/총무) 신입/경력직 모집","https://www.saramin.co.krundefined","서울 중구","신입 · 경력 · 정규직 외","대학교(4년)↑","~12.31(화)","신입","면접 후 협의"
"㈜함소아제약","함소아제약 익산공장 품질관리 / 분석, 공정관리 (3교대)  채용","https://www.saramin.co.krundefined","전북 익산시","경력무관 · 정규직","대학(2,3년)↑","~02.16(일)","신입","면접 후 협의"
"부산대학교병원","[부산대학교병원] 찾아가는건강의료서비스사업 코디네이터모집","https://www.saramin.co.krundefined","부산 서구 외","경력무관 · 계약직","학력무관","~12.27(금)","신입","110 만원"
"(주)농협하나로유통","[농협하나로유통] 하나로마트포항점 영업지원직(매입정산) 채용","https://www.saramin.co.krundefined","경북 포항시 북구","경력무관 · 계약직","학력무관","~12.31(화)","신입","면접 후 협의"
"(주)유라코퍼레이션","[유라코퍼레이션] 모로코 법인 자재무역(한국인관리자) 채용","https://www.saramin.co.krundefined","아프리카 모로코","경력무관 · 정규직","학력무관","~12.31(화)","신입","면접 후 협의"
"우정사업본부","제5회 음성우체국 상시계약집배원(농어촌소포배달원) 채용","https://www.saramin.co.krundefined","충북 음성군","경력무관 · 정규직 외","학력무관","D-6","신입","면접 후 협의"
"(주)농협하나로유통","[농협하나로유통] 농협 하나로마트성서점 영업지원직 채용공고","https://www.saramin.co.krundefined","대구 달서구","경력무관 · 계약직","학력무관","D-4","신입","면접 후 협의"
"우정사업본부","2024년 제5회 가평우체국 주관 공무직 농어촌소포배달원 채용","https://www.saramin.co.krundefined","경기 가평군","경력무관 · 정규직 외","학력무관","~12.27(금)","신입","면접 후 협의"
"(주)아모레퍼시픽","24년 AMOREPACIFIC 판매사원 채용_설화수플래그십스토어(글로벌)","https://www.saramin.co.krundefined","서울전체","신입 · 경력 · 정규직 외","고졸↑","D-5","신입","면접 후 협의"
"(주)아세아스틸","관리부 경영지원업무 직원채용","https://www.saramin.co.krundefined","대구 달서구","경력무관 · 정규직","대학(2,3년)↑","~02.16(일)","신입","면접 후 협의"
"서울도시가스(주)","2025년 서울도시가스 신입사원 채용(전산)","https://www.saramin.co.krundefined","서울 강서구 외","신입 · 정규직","대학교(4년)↑","~12.26(목)","신입","면접 후 협의"
"농협중앙회","[농협중앙회] 밀양시지부 일반계약직(사무지원)채용 공고","https://www.saramin.co.krundefined","경남 밀양시","경력무관 · 계약직","학력무관","D-5","신입","면접 후 협의"
"케이티네트워크","KETN 경영관리팀 / 분야별 공고(생산기획, 구매 등)","https://www.saramin.co.krundefined","광주 광산구","경력무관 · 정규직 외","대학(2,3년)↑","~01.17(금)","신입","3,700 만원"
"케이티네트워크","KETN 품질관리팀 모집","https://www.saramin.co.krundefined","광주 광산구","경력무관 · 정규직","대학(2,3년)↑","~01.17(금)","신입","면접 후 협의"
"언론중재위원회","무기계약직(서울 시정권고심의원) 직원 채용 공고","https://www.saramin.co.krundefined","서울 중구","경력무관 · 계약직","학력무관","D-5","신입","면접 후 협의"
"농협중앙회","[농협중앙회] 인사총무부 일반계약직(소방시설관리) 채용 공고","https://www.saramin.co.krundefined","서울 중구","경력무관 · 계약직","학력무관","D-5","신입","면접 후 협의"
"우정사업본부","2024년도 제5회 동천안우체국 상시계약집배원 채용","https://www.saramin.co.krundefined","충남 천안시","경력무관 · 계약직","학력무관","D-6","신입","면접 후 협의"
"서울도시가스(주)","2025년 서울도시가스 신입사원 채용(기술)","https://www.saramin.co.krundefined","서울 강서구 외","신입 · 정규직","대학교(4년)↑","~12.26(목)","신입","면접 후 협의"
"우정사업본부","2024년도 제4회 동천안우체국 공무직 농어촌소포배달원 채용","https://www.saramin.co.krundefined","충남 천안시","경력무관 · 정규직 외","학력무관","D-6","신입","면접 후 협의"
"서울도시가스(주)","2025년 서울도시가스 신입사원 채용(관리)","https://www.saramin.co.krundefined","서울 강서구 외","신입 · 정규직","대학교(4년)↑","~12.26(목)","신입","면접 후 협의"
"한국기상산업기술원","2024년도 제5회 공개채용 공고","https://www.saramin.co.krundefined","서울 서대문구","경력무관 · 정규직 외","학력무관","~12.31(화)","신입","면접 후 협의"
"(주)필에너지","2차전지 구매 직무 채용(경력)","https://www.saramin.co.krundefined","경기 오산시","경력무관 · 정규직","학력무관","~12.29(일)","신입","면접 후 협의"
"우정사업본부","2024년 제6회 서수원우체국 공무직 상시계약집배원 채용 재공고","https://www.saramin.co.krundefined","경기 수원시 권선구","경력무관 · 정규직 외","학력무관","~12.27(금)","신입","면접 후 협의"
"경기도의료원","의정부병원 조리원(공무직) 채용 공고","https://www.saramin.co.krundefined","경기 의정부시","경력무관 · 정규직 외","학력무관","D-5","신입","면접 후 협의"
"강동구보건소","2025 기간제근로자 채용 공고(금연절주사업)","https://www.saramin.co.krundefined","서울 강동구","경력무관 · 계약직","학력무관","D-6","신입","면접 후 협의"
"강동구보건소","2025 기간제근로자 채용 공고(지역사회기반 자살예방사업)","https://www.saramin.co.krundefined","서울 강동구","경력무관 · 계약직","학력무관","D-6","신입","면접 후 협의"
"(주)다옴코퍼레이션","부산 사상구 다옴 온라인쇼핑몰 물류 신입 팀원을 모집합니다","https://www.saramin.co.krundefined","부산 사상구 외","신입 · 정규직","학력무관","~01.17(금)","신입","2,800 만원"
"바이오스펙트럼(주)","(제주NPP센터 생산기술) 화장품, 바이오벤처 바이오스펙트럼㈜","https://www.saramin.co.krundefined","제주 제주시 외","신입 · 경력 · 계약직","대학교(4년)↑","~12.31(화)","신입","면접 후 협의"
"에스제이코퍼레이션(주)","출산 및 육아휴직 대체 신입 무역사무원 모집","https://www.saramin.co.krundefined","부산 동구 외","신입 · 계약직","대학교(4년)↑","~01.31(금)","신입","250 만원"
"동일알루미늄(주)","동일알루미늄(주) 천안공장 생산직 신입사원 채용","https://www.saramin.co.krundefined","충남 천안시 서북구","신입 · 정규직","학력무관","~02.02(일)","신입","면접 후 협의"
"(주)아이디스","[대전/중견/제조-IT] 구매관리(신입/경력) 인재모집","https://www.saramin.co.krundefined","대전 유성구","신입 · 정규직","대학교(4년)↑","~12.31(화)","신입","면접 후 협의"
"(재)안산환경재단","직원(기간제근로자) 공개모집 공고(시설물 현장 관리)","https://www.saramin.co.krundefined","경기 안산시 상록구","경력무관 · 계약직","학력무관","~01.02(목)","신입","면접 후 협의"
"국립농산물품질관리원강원지원","(강원)2024년 강원지원 공무직 근로자 채용 계획 공고","https://www.saramin.co.krundefined","강원전체","경력무관 · 정규직 외","학력무관","~12.27(금)","신입","면접 후 협의"
"(주)뉴엠텍","[삼성반도체 1차협력사] 생산사원 채용 (통근운행/초보가능)","https://www.saramin.co.krundefined","경기 화성시 외","신입 · 정규직 외","고졸↑","~01.17(금)","신입","면접 후 협의"
"강동구보건소","2025 기간제근로자 채용 공고(통합건강증진사업)","https://www.saramin.co.krundefined","서울 강동구","경력무관 · 계약직","학력무관","D-6","신입","면접 후 협의"
"강동구보건소","2025 기간제근로자 채용 공고(영양플러스사업)","https://www.saramin.co.krundefined","서울 강동구","경력무관 · 계약직","학력무관","D-6","신입","면접 후 협의"
"(학)동의병원","동의병원 심혈관센터 에코실 방사선사 채용","https://www.saramin.co.krundefined","부산 부산진구","신입 · 계약직","대학(2,3년)↑","D-2","신입","면접 후 협의"
"한국기술교육대학교산학협력단","산학협력단 사업직원(계약직) - 교육운영 및 교육(실습)장비관리","https://www.saramin.co.krundefined","충남 천안시 동남구","경력무관 · 계약직","학력무관","~01.12(일)","신입","3,300 만원"
"(주)지에프에스","총무/인사관리 담당자 채용","https://www.saramin.co.krundefined","경기 의정부시","신입 · 경력 · 정규직","대학(2,3년)↑","~01.18(토)","신입","면접 후 협의"
"강동구보건소","2025 기간제근로자 채용 공고(임신사전건강관리지원사업)","https://www.saramin.co.krundefined","서울 강동구","경력무관 · 계약직","학력무관","D-6","신입","면접 후 협의"
"국립농산물품질관리원강원지원","(강원 평창) 농업경영체 등록 기간제근로자 채용 계획 공고","https://www.saramin.co.krundefined","강원 평창군","경력무관 · 계약직","학력무관","D-5","신입","면접 후 협의"
"미래생활(주)","[티슈 브랜드 잘풀리는 집] 세종공장 생산 오퍼레이터 채용","https://www.saramin.co.krundefined","세종 세종특별자치시 외","경력무관 · 정규직","고졸↑","~12.31(화)","신입","10,642 원"
"국립농산물품질관리원전남지원","[전남] 공무직 근로자 채용 공고","https://www.saramin.co.krundefined","전남전체","경력무관 · 정규직 외","학력무관","D-5","신입","면접 후 협의"
"(주)아이아이컴바인드","[탬버린즈] CXM(Customer Experience Management) 신입/경력","https://www.saramin.co.krundefined","서울 마포구","신입 · 경력 · 정규직","학력무관","~02.16(일)","신입","면접 후 협의"
"(주)에너넷","(주)에너넷 경영지원본부 노사안전팀 신입사원 모집","https://www.saramin.co.krundefined","대전 유성구","신입 · 정규직","대학교(4년)↑","~01.17(금)","신입","3,000 만원"
"한국삼공","한국삼공(주) 영업관리팀 신입/경력 수시 채용","https://www.saramin.co.krundefined","서울 서초구","신입 · 경력 · 정규직","대학교(4년)↑","~01.03(금)","신입","면접 후 협의"
"주식회사 에이프로젠바이오로직스","에이프로젠바이오로직스 바이오사업부문 신입/경력 채용(구매)","https://www.saramin.co.krundefined","충북 청주시 흥덕구","신입 · 경력 · 정규직","대학교(4년)↑","~12.31(화)","신입","면접 후 협의"
"(주)국제식품","식품 가공 생산직 사원 모집 (초보가능)","https://www.saramin.co.krundefined","부산 사상구 외","경력무관 · 정규직 외","학력무관","~01.17(금)","신입","면접 후 협의"
"(주)풍산시스템","자동화 장비 제조 담당자 채용","https://www.saramin.co.krundefined","경기 군포시 외","신입 · 경력 · 정규직 외","고졸↑","~02.16(일)","신입","면접 후 협의"
"대한적십자사 혈액관리본부","2025년도 제1차 전문직 등(보건) 신규 직원 공개 모집","https://www.saramin.co.krundefined","전국","경력무관 · 정규직","학력무관","~12.31(화)","신입","면접 후 협의"
"대한적십자사 혈액관리본부","2025년도 제1차 전문직 등(간호) 신규 직원 공개 모집","https://www.saramin.co.krundefined","전국","경력무관 · 정규직","학력무관","~12.31(화)","신입","면접 후 협의"
