회사명,설립일,대표자명,업종,재무정보,기업주소
(주)메타엠,1999년 06월 14일                                (업력 26년차),신인수,콜센터 및 텔레마케팅 서비스업,-,"서울 강남구 언주로 725, 동관 6층"
(주)휴비스,2009년 11월 20일                                (업력 16년차),김명진,배전반 및 전기 자동제어반 제조업,매출액 460.1억 영업이익 29.6억 (2023년 기준) 전체),"서울 강남구 언주로 725, 동관 6층"
(의)덕산의료재단,-,강병직,종합 병원,"매출액  560.9억, 영업이익  14억 (2023년 기준)",경북 김천시 신음1길 12
(주)셀루메드,1985년 05월 01일                                (업력 40년차),유인수,생물학적 제제 제조업,-,"서울 금천구 디지털로 130, 402호"
(주)에이텍,1993년 06월 30일                                (업력 32년차),신승영/이상훈,컴퓨터 제조업,-,경기 성남시 분당구 판교로 289
(주)에이치엘클레무브,2008년 11월 26일                                (업력 17년차),윤팔주,그 외 자동차용 신품 부품 제조업,매출액 1.2조 영업이익 144.2억 (2023년 기준) 전체),인천 연수구 하모니로 224
두산건설(주),1976년 04월 07일                                (업력 49년차),이정환/이강홍,종합 건설업,-,서울 강남구 언주로 726
현대트랜시스(주),1999년 12월 28일                                (업력 26년차),이상흔,그 외 자동차용 신품 부품 제조업,-,충남 서산시 성연면 신당1로 105
(주)엔투비,2000년 08월 29일                                (업력 25년차),이원종,전자상거래 소매 중개업,매출액 1.1조 영업이익 93.7억 (2023년 기준) 전체),서울 강남구 봉은사로 514
바디텍메드(주),2014년 09월 30일                                (업력 11년차),최의열,의료용품 및 기타 의약 관련제품 제조업,-,강원 춘천시 동내면 거두단지1길 43
(주)제테마,2009년 07월 17일                                (업력 16년차),김재영/남정선,의료용품 및 기타 의약 관련제품 제조업,-,강원 원주시 지정면 조엄로 321
(주)아바코,2000년 01월 31일                                (업력 25년차),김광현,디스플레이 제조용 기계 제조업,-,대구 달서구 성서4차첨단로 160-7
(주)오너클랜,2012년 06월 22일                                (업력 13년차),김기명,전자상거래 소매 중개업,매출액 93.3억 영업이익 15.2억 (2023년 기준) 전체),서울 서초구 강남대로99길 23-8
퍼솔켈리코리아(유),2005년 08월 04일                                (업력 20년차),전유미,고용 알선업,매출액 269.8억 영업이익 13억 (2024년 기준) 전체),"서울 중구 세종대로 136, 15층"
(주)젠테,2020년 04월 17일                                (업력 5년차),정승탄,남녀용 겉옷 및 셔츠 도매업,매출액 487.7억 영업이익 - 53.8억 (2023년 기준) 전체),"서울 중구 세종대로 136, 15층"
(재)한국의학연구소,1985년 10월 29일                                (업력 40년차),이상호,방사선 진단 및 병리 검사 의원,-,서울 강남구 언주로159길 25
애플코리아(유),-,피터알덴우드,"컴퓨터 및 주변장치, 소프트웨어 도매업","매출액 7.5조, 영업이익  5,599.7억 (2023년 기준)","서울 강남구 영동대로 517, 3901호 (삼성동,아셈타워)"
(주)덕산테코피아 천안사업장,2016년 11월 09일                                (업력 9년차),-,석유·화학·에너지,-,충남 천안시 동남구 성남면 5산단3로 30
(주)버킷플레이스,2014년 07월 11일                                (업력 11년차),이승재,포털 및 기타 인터넷 정보매개 서비스업,-,-
풍림무약,1974년 03월 21일                                (업력 51년차),-,제약·보건·바이오,매출액  612억 (2014년 기준) ,경기 화성시 향남읍 제약공단3길 120 풍림무약
베스핀글로벌(주),2015년 10월 19일                                (업력 10년차),김써니/장인수,컴퓨터시스템 통합 자문 및 구축 서비스업,-,"서울 서초구 강남대로 327, 13층,14층,15층,16층 (서초동,대륭서초타워)"
(주)온라인투어,2000년 01월 10일                                (업력 25년차),박혜원,여행사업,-,"서울 종로구 효자로 23 (통의동,국제항운빌딩)"
(주)다림티센,2006년 01월 25일                                (업력 19년차),정종섭/정환규,그 외 기타 의료용 기기 제조업,-,"서울 마포구 연희로 31, 3층,4층,5층 (연남동,연남빌딩)"
(주)글루가,2015년 05월 13일                                (업력 10년차),유기현,화장품 제조업,-,"충남 천안시 서북구 2공단8길 45, 2층"
제일사료(주),-,권천년,배합 사료 제조업,"매출액  9,006억, 영업이익  241.6억  (2023년 기준)",대전 대덕구 대전로1331번길 240
(주)레이크머티리얼즈,2017년 09월 22일                                (업력 8년차),김진동,그 외 기타 분류 안된 화학제품 제조업,-,세종 전의면 산단길 22-144
프레스티지바이오로직스(주),2015년 06월 02일                                (업력 10년차),현덕훈,완제 의약품 제조업,-,충북 청주시 흥덕구 오송읍 오송생명1로 197
(주)발란,2015년 05월 14일                                (업력 10년차),최형록,전자상거래 소매 중개업,-,"서울 강남구 테헤란로 217, 10층 (역삼동,오렌지플래닛)"
(주)에이블리코퍼레이션,2015년 08월 05일                                (업력 10년차),강석훈,남녀용 겉옷 및 셔츠 도매업,"매출액 2,594.9억 영업이익 32.6억 (2023년 기준) 전체)","서울 서초구 강남대로 465, 에이,비동 6층,9층"
(주)보스반도체,2022년 05월 13일                                (업력 3년차),박재홍,비메모리용 및 기타 전자집적회로 제조업,매출액 135.2억 영업이익 - 52.6억 (2023년 기준) 전체),"경기 성남시 분당구 판교로255번길 24, 3층 (삼평동,아이앤씨빌딩)"
(주)몰로코,2014년 10월 29일                                (업력 11년차),후안로날도바카니트리니다드,광고 대행업,매출액 376.3억 영업이익 11.4억 (2023년 기준) 전체),"서울 강남구 테헤란로 231, 서관 8층 (역삼동,센터필드)"
블래스트(주),2022년 01월 21일                                (업력 3년차),이성구,애니메이션 영화 및 비디오물 제작업,매출액 114.2억 영업이익 18.6억 (2023년 기준) 전체),"서울 마포구 월드컵북로 44-1, 4층 (연남동,카스빌딩)"
(주)에스테이트,2017년 02월 01일                                (업력 8년차),송세환,온라인 교육 학원,매출액 28.2억 영업이익 6억 (2022년 기준) 전체),"서울 강서구 마곡서로 152, 비동 311호, 312호, 313호, 314호 (마곡동,두산더랜드타워)"
아이헤이트플라잉버그스(주),2012년 01월 02일                                (업력 13년차),박찬용,온라인 교육 학원,-,"서울 영등포구 여의대로 108, 타워1 39층 (여의도동,파크원)"
(주)테일크루,2020년 08월 31일                                (업력 5년차),문희담,"영화, 비디오물 및 방송프로그램 제작 관련 서비스업",매출액 3.5억 영업이익 - 1.1억 (2022년 기준) 전체),"서울 영등포구 여의대로 108, 타워1 39층 (여의도동,파크원)"
(주)한국비엔씨,2016년 10월 14일                                (업력 9년차),최완규,기초 의약물질 및 생물학적 제제 제조업,-,"대구 달서구 성서공단로11길 62, 대구테크노파크벤처공장 1호관 405호(사무실), 502호, 503호, 206호, 비102호"
(주)이큐브랩,2011년 07월 04일                                (업력 14년차),권순범,그 외 기타 특수목적용 기계 제조업,매출액 17.2억 영업이익 - 33억 (2023년 기준) 전체),"경기 성남시 분당구 대왕판교로 660, 111호 (삼평동,유스페이스1 패스트파이브)"
(주)더라이징스타헤딩,2016년 07월 29일                                (업력 9년차),박규태,데이터베이스 및 온라인정보 제공업,"매출액 44.8억 영업이익 2,958만 (2023년 기준) 전체)","대구 달서구 성서공단로11길 62, 대구테크노파크벤처공장 1호관 405호(사무실), 502호, 503호, 206호, 비102호"
(주)마케팅,2023년 02월 01일                                (업력 2년차),김균화/정민채,광고 대행업,-,"서울 구로구 디지털로34길 55, 1503호 (구로동,코오롱싸이언스밸리2차)"
(주)그라비티,2000년 04월 04일                                (업력 25년차),박현철,유선 온라인 게임 소프트웨어 개발 및 공급업,"매출액 2,427.7억 영업이익 707.5억 (2023년 기준) 전체)","서울 강남구 논현로 340, 402호"
(주)스마일게이트엔터테인먼트,2002년 06월 11일                                (업력 23년차),성준호/장인아,유선 온라인 게임 소프트웨어 개발 및 공급업,"매출액 6,671.5억 영업이익 3,816.2억 (2023년 기준) 전체)","경기 성남시 분당구 판교역로 220, 5층"
(주)토마토시스템,2000년 10월 27일                                (업력 25년차),이상돈,응용 소프트웨어 개발 및 공급업,매출액 265.7억 영업이익 28.2억 (2023년 기준) 전체),"서울 금천구 벚꽃로 298, 1608호 (가산동,대륭포스트타워6차)"
(주)신한디에스,1991년 05월 13일                                (업력 34년차),조경선,시스템 소프트웨어 개발 및 공급업,"매출액 3,149.6억 영업이익 115.4억 (2023년 기준) 전체)","서울 마포구 월드컵북로 396, 15층"
한국수출입은행,1976년 06월 21일                                (업력 49년차),윤희성,개발금융기관,매출액 12조 영업이익 1조 (2023년 기준) 전체),"경기 성남시 분당구 판교역로 220, 5층"
(주)싸이버로지텍,2000년 03월 29일                                (업력 25년차),송영규,응용 소프트웨어 개발 및 공급업,매출액 844억 영업이익 169.7억 (2023년 기준) 전체),"서울 강남구 논현로128길 5, 5,6,8층 (논현동,장뻘빌딩)"
(주)인스웨이브시스템즈,2002년 04월 15일                                (업력 23년차),어세룡,응용 소프트웨어 개발 및 공급업,매출액 326억 영업이익 51.9억 (2023년 기준) 전체),서울 중구 남대문로10길 29
(주)비큐에이아이,1998년 08월 25일                                (업력 27년차),임경환,응용 소프트웨어 개발 및 공급업,매출액 168.9억 영업이익 2.4억 (2023년 기준) 전체),서울 영등포구 은행로 38
(주)골프존,-,최덕형/박강수,기타 게임 소프트웨어 개발 및 공급업,"매출액  5,997.8억, 영업이익  1,348.4억 (2023년 기준)","서울 마포구 월드컵북로 396, 16층 (상암동,누리꿈스퀘어연구개발타워)"
한국산업은행,1954년 04월 03일                                (업력 71년차),강석훈,개발금융기관,매출액 43.4조 영업이익 2.9조 (2023년 기준) 전체),서울 영등포구 은행로 14
자이에스앤디(주),2000년 04월 08일                                (업력 25년차),엄관석,주거용 건물 개발 및 공급업,-,
동국시스템즈(주),1997년 09월 11일                                (업력 28년차),김오련,응용 소프트웨어 개발 및 공급업,"매출액 2,367.6억 영업이익 81.5억 (2023년 기준) 전체)","서울 중구 퇴계로 385, 5,6,9층 (흥인동,준타워)"
(주)케이티에스테이트,2010년 08월 02일                                (업력 15년차),김승환,비주거용 건물 개발 및 공급업,"매출액 5,917.8억 영업이익 942.2억 (2023년 기준) 전체)",서울 강남구 영동대로 735
한진정보통신(주),1989년 11월 04일                                (업력 36년차),변봉섭,응용 소프트웨어 개발 및 공급업,"매출액 1,475억 영업이익 15.8억 (2023년 기준) 전체)",서울 영등포구 은행로 14
(주)신세계프라퍼티,2013년 12월 04일                                (업력 12년차),임영록,기타 부동산 개발 및 공급업,"매출액 2,324.1억 영업이익 564.5억 (2023년 기준) 전체)","서울 강남구 테헤란로 231, 22층"
(주)미래로시스템,1994년 01월 22일                                (업력 31년차),두영수,응용 소프트웨어 개발 및 공급업,매출액 265.1억 영업이익 21.9억 (2023년 기준) 전체),"서울 중구 퇴계로 173, 10층 (충무로3가,남산스퀘어빌딩)"
이니텍(주),1997년 06월 13일                                (업력 28년차),옥성환,시스템 소프트웨어 개발 및 공급업,-,"서울 구로구 디지털로26길 61, 11층 (구로동,에이스하이앤드2차)"
(주)현대이지웰,2003년 01월 14일                                (업력 22년차),장영순,응용 소프트웨어 개발 및 공급업,-,"서울 중구 을지로5길 19 (수하동,페럼타워)"
에스케이엠앤서비스(주),2000년 02월 09일                                (업력 25년차),허선영,시스템 소프트웨어 개발 및 공급업,-,"서울 중구 수표로 34, 16층"
한국정보인증(주),1999년 07월 02일                                (업력 26년차),조태묵,응용 소프트웨어 개발 및 공급업,-,"경기 성남시 수정구 금토로 69, 6층 (금토동,다우디지털스퀘어)"
대상정보기술(주),1991년 07월 05일                                (업력 34년차),오승후,응용 소프트웨어 개발 및 공급업,매출액 887.6억 영업이익 28.6억 (2023년 기준) 전체),"서울 광진구 천호대로 549, 8층, 9층"
(주)카카오게임즈,2013년 08월 22일                                (업력 12년차),한상우,모바일 게임 소프트웨어 개발 및 공급업,-,"경기 성남시 분당구 판교역로 152, 14층"
(주)지에스아이티엠,2006년 05월 04일                                (업력 19년차),변재철,응용 소프트웨어 개발 및 공급업,"매출액 2,323.3억 영업이익 - 98.8억 (2023년 기준) 전체)","서울 종로구 계동길 31 (재동,보헌빌딩)"
굿모닝아이텍(주),2004년 08월 02일                                (업력 21년차),이주찬,응용 소프트웨어 개발 및 공급업,"매출액 1,182억 영업이익 19억 (2023년 기준)","경기 고양시 덕양구 향동로 217, B동 7층 (향동동,디엠씨플렉스데시앙)"
