회사명,설립일,대표자명,업종,재무정보,기업주소
(주)시프트업,2013년 12월 02일                                (업력 12년차),김형태,기타 게임 소프트웨어 개발 및 공급업,"매출액 1,685.9억 영업이익 1,110.6억 (2023년 기준) 전체)","서울 서초구 서초대로77길 55, 12층, 13층, 14층, 15층 (서초동,에이프로 스퀘어)"
이지케어텍(주),2001년 02월 07일                                (업력 24년차),홍우선,응용 소프트웨어 개발 및 공급업,-,"서울 중구 퇴계로 307, 4층, 5층, 6층"
팅크웨어(주),1997년 03월 26일                                (업력 28년차),이흥복,응용 소프트웨어 개발 및 공급업,-,"경기 성남시 분당구 판교역로 240, A동 9층"
네이버시스템(주),1998년 04월 28일                                (업력 27년차),임병조,응용 소프트웨어 개발 및 공급업,매출액 786.5억 영업이익 - 3.7억 (2023년 기준) 전체),"서울 송파구 중대로 135, 동관 16층 1601호 (가락동,아이티벤처타워)"
펜타시큐리티(주),1997년 07월 21일                                (업력 28년차),김태균,시스템 소프트웨어 개발 및 공급업,매출액 335.6억 영업이익 38억 (2023년 기준) 전체),"서울 영등포구 여의공원로 115, 8층, 9층 (여의도동,세우빌딩)"
코나아이(주),1998년 03월 11일                                (업력 27년차),조정일,응용 소프트웨어 개발 및 공급업,-,"서울 영등포구 은행로 3, 801호"
(주)이수시스템,1996년 08월 02일                                (업력 29년차),김상범/손원동,응용 소프트웨어 개발 및 공급업,매출액 360.4억 영업이익 30.4억 (2023년 기준) 전체),"서울 서초구 사평대로 60, 4,5,6,7층 (반포동,덕명빌딩)"
(주)사이버다임,2010년 11월 29일                                (업력 15년차),김경채,응용 소프트웨어 개발 및 공급업,매출액 167.4억 영업이익 40.2억 (2023년 기준) 전체),"서울 송파구 올림픽로 299, 12층 (신천동,대한제당빌딩)"
(주)숲,1996년 04월 22일                                (업력 29년차),서수길/정찬용,시스템 소프트웨어 개발 및 공급업,-,"경기 성남시 분당구 판교로228번길 15, 판교7벤처밸리3 1단지 2동 201호,801호,901호"
(주)커넥트웨이브,2002년 06월 21일                                (업력 23년차),-,응용 소프트웨어 개발 및 공급업,-,"서울 금천구 벚꽃로 298, 17층 (가산동,대륭포스트타워6차)"
(주)플래티어,2005년 02월 24일                                (업력 20년차),이상훈,응용 소프트웨어 개발 및 공급업,-,"서울 송파구 법원로9길 26, 디동 제6층 (문정동,에이치비지니스파크)"
(주)피앤피시큐어,2003년 12월 30일                                (업력 22년차),박천오,응용 소프트웨어 개발 및 공급업,매출액 583.9억 영업이익 274.9억 (2023년 기준) 전체),"서울 강서구 마곡서로 182 (마곡동,피앤피스테이션)"
(주)시큐아이,2000년 03월 20일                                (업력 25년차),정삼용,시스템 소프트웨어 개발 및 공급업,-,"서울 종로구 종로 51, 3,5,6층 (종로2가,종로타워)"
(주)농협정보시스템,2006년 05월 10일                                (업력 19년차),이용노,응용 소프트웨어 개발 및 공급업,"매출액 3,074.9억 영업이익 59.5억 (2023년 기준) 전체)","서울 종로구 종로 51, 3,5,6층 (종로2가,종로타워)"
(주)위펀,2018년 12월 13일                                (업력 7년차),김헌,-,-,"서울 서초구 매헌로 24, 2층"
콘센트릭스서비스코리아(유),2014년 01월 22일                                (업력 11년차),안드루앨버트파위그/제인캐서린포가티/조희제,-,"매출액  1,269.9억, 영업이익  112.8억 (2023년 기준)","서울 강남구 강남대로 374, 15층 (역삼동,케이스퀘어강남)"
(주)스틸리언,2014년 04월 24일                                (업력 11년차),박찬암,시스템 소프트웨어 개발 및 공급업,매출액 99.7억 영업이익 30억 (2023년 기준) 전체),"서울 강남구 테헤란로 509, 5층 (삼성동,엔씨타워1)"
(주)펫프렌즈,2015년 09월 01일                                (업력 10년차),김창원,시스템ㆍ응용 소프트웨어 개발 및 공급업,-,서울 강남구 언주로79길 8
트리노드(주),2018년 12월 31일                                (업력 7년차),김준수,모바일 게임 소프트웨어 개발 및 공급업,매출액 533.2억 영업이익 187.7억 (2023년 기준) 전체),"부산 해운대구 센텀2로 25, 503호, 701호, 802호, 803호, 1302호, 15층"
(주)올라핀테크,2019년 12월 04일                                (업력 6년차),김상수,응용 소프트웨어 개발 및 공급업,"매출액 94.6억 영업이익 - 7,025만 (2023년 기준) 전체)","서울 강남구 봉은사로 327, 11층 (논현동,궁도빌딩)"
크림(주),2021년 01월 04일                                (업력 4년차),김창욱,응용 소프트웨어 개발 및 공급업,"매출액 1,222.2억 영업이익 - 408억 (2023년 기준) 전체)","경기 성남시 분당구 분당내곡로 131, 8층 (백현동,테크원타워)"
(주)디케이테크인,2015년 08월 06일                                (업력 10년차),이원주,응용 소프트웨어 개발 및 공급업,-,"경기 성남시 분당구 판교역로 235, 3층 (삼평동,에이치스퀘어 엔동)"
엘캠퍼스(주),2018년 11월 20일                                (업력 7년차),김기태,응용 소프트웨어 개발 및 공급업,-,"서울 금천구 가산디지털1로 168, B동 409호, 911호 (가산동,우림라이온스밸리)"
(주)바로팜,2019년 11월 22일                                (업력 6년차),김슬기,시스템 소프트웨어 개발 및 공급업,매출액 78.8억 영업이익 - 3.3억 (2023년 기준) 전체),"서울 강남구 역삼로 169, 3층 (역삼동,명우빌딩)"
(주)펄어비스,2010년 09월 10일                                (업력 15년차),허진영,유선 온라인 게임 소프트웨어 개발 및 공급업,-,경기 과천시 과천대로2길 48
(주)인터엑스,2020년 07월 09일                                (업력 5년차),박정윤,응용 소프트웨어 개발 및 공급업,매출액 121.8억 영업이익 - 21.4억 (2023년 기준) 전체),경기 과천시 과천대로2길 48
리디(주),2008년 03월 31일                                (업력 17년차),배기식,응용 소프트웨어 개발 및 공급업,"매출액 2,154억 영업이익 - 269.4억 (2023년 기준) 전체)","울산 중구 종가6길 7, 10층 (우정동,혁신더테라스)"
(주)페이타랩,2018년 02월 28일                                (업력 7년차),곽수용,시스템 소프트웨어 개발 및 공급업,-,"서울 강남구 테헤란로 325, 4층, 10층, 11층 (역삼동,어반벤치빌딩)"
아우토크립트(주),2019년 08월 23일                                (업력 6년차),김덕수/김의석/이석우,응용 소프트웨어 개발 및 공급업,-,"서울 영등포구 여의공원로 115, 지하 1층, 1층, 6층, 7층, 8층 (여의도동,세우빌딩)"
(주)매드업,2015년 01월 29일                                (업력 10년차),이동호/이주민,응용 소프트웨어 개발 및 공급업,-,"서울 서초구 서초대로74길 4, 20층 (서초동,삼성생명서초타워)"
(주)업스테이지,2020년 10월 05일                                (업력 5년차),김성훈,응용 소프트웨어 개발 및 공급업,매출액 46.1억 영업이익 - 189.1억 (2023년 기준) 전체),"서울 강남구 테헤란로 325, 4층, 10층, 11층 (역삼동,어반벤치빌딩)"
롯데이노베이트(주),2017년 11월 02일                                (업력 8년차),김경엽,컴퓨터 프로그래밍 서비스업,-,"서울 금천구 가산디지털2로 179 (가산동,롯데센터)"
(주)더존비즈온,1977년 08월 20일                                (업력 48년차),김용우,컴퓨터 프로그래밍 서비스업,-,강원 춘천시 남산면 버들1길 130
