"회사명","제목","공고링크","지역","경력","학력","마감일","고용형태","연봉정보"
"(주)구십구도씨","99'C를 끓게 할 1'C를 찾습니다 [ AE ]","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 인턴직","학력무관","~02.15(토)","인턴","면접 후 협의"
"DS단석 평택1공장","DS단석 평택공장 바이오에너지 물류팀 사무직 모집","https://www.saramin.co.krundefined","경기 평택시","신입 · 경력 · 정규직 외","대학교(4년)↑","~12.31(화)","인턴","면접 후 협의"
"비드코칭연구소(주)","비드코칭연구소 세일즈 모집(연봉 3300만원)","https://www.saramin.co.krundefined","대전 중구 외","경력 · 정규직 외","학력무관","~01.15(수)","인턴","3,300 만원"
"(사)북한인권시민연합","(사)북한인권시민연합 교육팀 2025 인턴모집","https://www.saramin.co.krundefined","서울 서대문구 외","경력무관 · 인턴직","학력무관","~01.02(목)","인턴","10,030 원"
"스타법무법인","[서울] 경영지원본부 경영기획파트 편집디자인 부문 신입 채용","https://www.saramin.co.krundefined","서울 강남구 외","신입 · 인턴직","학력무관","~12.31(화)","인턴","3,200 만원"
"(주)디티솔루션","배우고 같이 성장할 IT 컨설턴트 모십니다.","https://www.saramin.co.krundefined","서울 중구","경력무관 · 정규직 외","대학교(4년)↑","~01.31(금)","인턴","3,400 만원"
"주식회사 다인","[다인] 교육기획/운영 담당 채용전환형 인턴","https://www.saramin.co.krundefined","서울 강남구","신입 · 인턴직","대학교(4년)↑","~02.15(토)","인턴","3,400 만원"
"한국도로공사서비스(주)","수도권동부영업센터 2025년 체험형 청년인턴(영업직) 채용 공고","https://www.saramin.co.krundefined","경기 구리시 외","경력무관 · 인턴직","학력무관","D-5","인턴","면접 후 협의"
"한국도로공사서비스(주)","강원영업센터 2025년 체험형 청년인턴(영업직) 채용 공고","https://www.saramin.co.krundefined","경기 남양주시 외","경력무관 · 인턴직","학력무관","D-5","인턴","면접 후 협의"
"에스케이플라즈마(주)","[SK] SK플라즈마 품질보증(QA) 신입(전환형 인턴) 모집","https://www.saramin.co.krundefined","경북 안동시","신입 · 정규직 외","대학교(4년)↑","~12.29(일)","인턴","면접 후 협의"
"(주)넥스트챕터","Brand Manager Intern (Beauty &amp; Personal Care)","https://www.saramin.co.krundefined","서울 성동구","신입 · 인턴직","학력무관","~12.31(화)","인턴","면접 후 협의"
"(주)넥스트챕터","HR Manager Intern","https://www.saramin.co.krundefined","서울 성동구","신입 · 인턴직","학력무관","~12.31(화)","인턴","면접 후 협의"
"과학기술정보통신부","청년인턴 채용 공고(국제)","https://www.saramin.co.krundefined","세종 세종특별자치시","경력무관 · 인턴직","학력무관","~12.26(목)","인턴","면접 후 협의"
"과학기술정보통신부","청년인턴 채용 공고(행정)","https://www.saramin.co.krundefined","세종 세종특별자치시","경력무관 · 인턴직","학력무관","~12.26(목)","인턴","면접 후 협의"
"롯데쇼핑(주)","2025년 상반기 롯데백화점 신입사원 채용 (Potential전형)","https://www.saramin.co.krundefined","전국","신입 · 정규직 외","대학교(4년)↑","D-7","인턴","면접 후 협의"
"(주)엠티콜렉션","[엠티콜렉션] 그래픽디자인 인턴사원 채용","https://www.saramin.co.krundefined","서울 강남구","신입 · 인턴직","대학(2,3년)↑","~01.12(일)","인턴","면접 후 협의"
"(주)빙그레","빙그레 김해공장 정규직 전환형 기술직인턴 채용","https://www.saramin.co.krundefined","경남 김해시","경력무관 · 인턴직","고졸↑","~12.29(일)","인턴","면접 후 협의"
"(주)듀라인","[사무직] 2025 사무/무역사무 경력무관 채용","https://www.saramin.co.krundefined","인천 부평구 외","경력무관 · 정규직 외","대학교(4년)↑","~02.15(토)","인턴","면접 후 협의"
"(주)씨코드","Android 기반 차량용 SW 개발자 모집 (신입, 경력)","https://www.saramin.co.krundefined","경기 용인시 기흥구 외","경력무관 · 정규직 외","대학(2,3년)↑","~12.31(화)","인턴","면접 후 협의"
"(주)씨코드","차량용 임베디드 FW (MCU, MICOM) 엔지니어 모집 (신입, 경력)","https://www.saramin.co.krundefined","경기 용인시 기흥구 외","경력무관 · 정규직 외","대학(2,3년)↑","~12.31(화)","인턴","면접 후 협의"
"(주)씨코드","Linux based 차량용 SW 개발자(C / C++) 모집 (신입, 경력)","https://www.saramin.co.krundefined","경기 용인시 기흥구 외","경력무관 · 정규직 외","대학(2,3년)↑","~12.31(화)","인턴","면접 후 협의"
"지멘스헬시니어스(주)","[지멘스 헬시니어스] Finance Intern","https://www.saramin.co.krundefined","서울 서초구","신입 · 인턴직","대학교(4년)↑","채용시","인턴","면접 후 협의"
"(주)범창모산","의류 및 용품 인턴 채용합니다","https://www.saramin.co.krundefined","경기 성남시 수정구 외","경력무관 · 인턴직","대학(2,3년)↑","~01.16(목)","인턴","면접 후 협의"
"(주)엘리엇","[광고회사] 영상 DI(컬러리스트) 신입/경력 직원모집","https://www.saramin.co.krundefined","서울 강남구","신입 · 경력 · 정규직 외","학력무관","채용시","인턴","면접 후 협의"
"(주)엘리엇","[광고회사] ART(아트) 경력/신입","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 정규직 외","학력무관","채용시","인턴","면접 후 협의"
"전산시스템","2025년도 상반기 목재 가구 생산직 모집 [JEONSAN SYSTEM]","https://www.saramin.co.krundefined","경기 파주시","경력무관 · 정규직 외","학력무관","~12.31(화)","인턴","270 만원"
"농업회사법인(주)오설록농장","아모레퍼시픽그룹 오설록농장 포장생산팀 채용","https://www.saramin.co.krundefined","제주 서귀포시","경력무관 · 인턴직","학력무관","D-6","인턴","면접 후 협의"
"스탠딩플러스","[행사/공연/기획/대행] 신입 및 경력자 채용","https://www.saramin.co.krundefined","강원 춘천시","신입 · 경력 · 정규직 외","대학(2,3년)↑","채용시","인턴","면접 후 협의"
"(주)퍼스트씨앤디","충전기, 모빌리티 운영플랫폼 개발 및 빅데이터 처리 엔지니어","https://www.saramin.co.krundefined","경기 화성시","신입 · 경력 · 정규직 외","대학교(4년)↑","~02.14(금)","인턴","면접 후 협의"
"소녀레시피","부산 여성 쇼핑몰 웹디자이너(보정작업) 모집합니다.","https://www.saramin.co.krundefined","부산 사상구","경력무관 · 정규직 외","학력무관","~01.15(수)","인턴","210 만원"
"(주)파이오링크","[(주)파이오링크] 보안관제직  공고","https://www.saramin.co.krundefined","서울 금천구","신입 · 경력 · 정규직 외","대학교(4년)↑","~02.14(금)","인턴","면접 후 협의"
"제피러스랩","창업기획자,액셀러레이터 (서울근무)","https://www.saramin.co.krundefined","서울 마포구","경력무관 · 정규직 외","대학교(4년)↑","~01.15(수)","인턴","면접 후 협의"
"(주)논픽션","[논픽션 Business Support] E-Commerce Biz Support Intern 모집","https://www.saramin.co.krundefined","서울 종로구","신입 · 경력 · 인턴직","대학교(4년)↑","~01.15(수)","인턴","면접 후 협의"
"더워터멜론(주)","브랜드 경험 BX 그룹 디자인 인턴 채용","https://www.saramin.co.krundefined","서울 강남구","신입 · 인턴직","학력무관","~01.15(수)","인턴","면접 후 협의"
"(주)더네이쳐홀딩스","[(주)더네이쳐홀딩스] 내셔널지오그래픽 VMD 체험형 인턴 채용","https://www.saramin.co.krundefined","서울 용산구","신입 · 경력 · 인턴직","대학(2,3년)↑","~02.14(금)","인턴","면접 후 협의"
"(주)스킨푸드","(주) 스킨푸드 글로벌 마케팅 인턴 채용공고","https://www.saramin.co.krundefined","서울 강남구","신입 · 인턴직","대학교(4년)↑","~12.29(일)","인턴","면접 후 협의"
"(주)엘에스티","운송관리 및 차량관리 채용","https://www.saramin.co.krundefined","광주 북구","경력무관 · 정규직 외","대학(2,3년)↑","~02.14(금)","인턴","3,000 만원"
"동래센트럴정형외과의원","동래 센트럴 정형외과 외래 간호조무사 모집공고","https://www.saramin.co.krundefined","부산 동래구","경력 1년↑ · 인턴직","학력무관","~01.15(수)","인턴","면접 후 협의"
"이지자산평가(주)","[이지자산평가] 대체평가부문 채용","https://www.saramin.co.krundefined","서울 영등포구","신입 · 경력 · 정규직 외","대학교(4년)↑","~12.29(일)","인턴","면접 후 협의"
"매드업","[매드업] 2025 상반기 채용연계형 퍼포먼스 마케팅 AE 인턴 공채","https://www.saramin.co.krundefined","서울 서초구","신입 · 인턴직","대학교(4년)↑","~01.01(수)","인턴","240 만원"
"(주)뉴엠텍","[삼성반도체 1차협력사] (주)뉴엠텍 검사원(측정/검사/QC) 모집","https://www.saramin.co.krundefined","경기 화성시 외","신입 · 정규직 외","고졸↑","~01.15(수)","인턴","225 만원"
"(주)무니스","일본인 콘텐츠 마케터 인턴 모집","https://www.saramin.co.krundefined","서울 마포구","신입 · 인턴직","학력무관","오늘마감","인턴","면접 후 협의"
"네이버클라우드(주)","[네이버] NAVER Cloud 사업전략 기획 (체험형 인턴)","https://www.saramin.co.krundefined","서울 강남구","신입 · 인턴직","대학교(4년)↑","D-5","인턴","면접 후 협의"
"원광대학교산학협력단","2024학년도 원광대학교 신입직원(정규직) 채용공고[~12.26.(목)]","https://www.saramin.co.krundefined","전북 익산시 외","신입 · 경력 · 정규직 외","대학교(4년)↑","~12.26(목)","인턴","면접 후 협의"
"템피스투자자문(주)","[템피스투자자문] 경영관리(회계) 전반 및 운용지원 인턴 채용","https://www.saramin.co.krundefined","서울 중구","경력무관 · 정규직 외","학력무관","~12.29(일)","인턴","면접 후 협의"
"세종파츠플러스(유)","세종파츠플러스 서울영업팀 정규직원 채용","https://www.saramin.co.krundefined","서울 서초구","경력무관 · 정규직 외","대학(2,3년)↑","~01.15(수)","인턴","3,500 만원"
"(주)더원테크","[인턴 모집] 빅데이터 와 인공지능 AI 프로그램 개발 인턴 모집","https://www.saramin.co.krundefined","서울 금천구","신입 · 경력 · 정규직 외","대학교(4년)↑","~01.15(수)","인턴","230 만원"
"(주)이퓨월드","[이퓨월드] XR 사업팀 실습생 채용(프로젝트 관리 및 사업개발)","https://www.saramin.co.krundefined","경남 창원시","경력무관 · 인턴직","고졸↑","D-4","인턴","면접 후 협의"
"더핑크퐁컴퍼니(주)","[더핑크퐁컴퍼니] 데이터 분석 인턴 (3개월 체험형)","https://www.saramin.co.krundefined","서울 서초구","경력무관 · 인턴직","학력무관","~01.07(화)","인턴","면접 후 협의"
"(주)휴머스온","2025년도 휴머스온 대규모 채용 상반기 SW/Biz 공채 경력공채","https://www.saramin.co.krundefined","서울 강남구","신입 · 경력 · 정규직 외","대학교(4년)↑","~01.01(수)","인턴","면접 후 협의"
"크린팩토메이션(주)","경영기획팀 ESG 담당자 모집 (정규직 전환형 인턴 채용)","https://www.saramin.co.krundefined","경기 화성시 외","경력(년수무관) · 정규직 외","대학(2,3년)↑","~01.01(수)","인턴","면접 후 협의"
"세영식품(주)","부경대학교 세종1관 학생생활관 인턴영양사 채용 공고","https://www.saramin.co.krundefined","부산 남구 외","경력무관 · 계약직 외","대학(2,3년)↑","~01.15(수)","인턴","면접 후 협의"
"(주)스토리에프씨","프랜차이즈 슈퍼바이저 모집 [경력사원외 지원 불가]","https://www.saramin.co.krundefined","부산 해운대구","경력 2년↑ · 정규직 외","학력무관","~01.15(수)","인턴","면접 후 협의"
"(주)동광인터내셔날","여성패션브랜드 QUEEN STYLE 온라인MD 인턴 채용","https://www.saramin.co.krundefined","서울 금천구","신입 · 인턴직","학력무관","~01.15(수)","인턴","면접 후 협의"
