"회사명","제목","공고링크","지역","경력","학력","마감일","고용형태","연봉정보"
"(주)에치와이","2025년 상반기 (주)hy 채용연계형 인턴 모집","https://www.saramin.co.krundefined","서울 서초구 외","신입 · 경력 · 인턴직","대학교(4년)↑","~12.26(목)","인턴","면접 후 협의"
"(주)론픽","[론픽] 물류 관리 담당자","https://www.saramin.co.krundefined","부산 사하구","경력 5년↑ · 인턴직","학력무관","~01.12(일)","인턴","면접 후 협의"
"(주)골드넥스","[2024년 하반기] 디지털마케팅 신입/경력 AE 모집","https://www.saramin.co.krundefined","서울 강남구","신입 · 경력 · 정규직 외","대학(2,3년)↑","~01.12(일)","인턴","면접 후 협의"
"주식회사 이롭","사회적기업 스타트업 사업계획서 작성 마케팅운영전반관리","https://www.saramin.co.krundefined","부산 수영구","경력(년수무관) · 정규직 외","학력무관","~12.27(금)","인턴","면접 후 협의"
"한영회계법인","위험관리부문 컴플라이언스 독립성 담당 정규전환형 인턴","https://www.saramin.co.krundefined","서울 영등포구","신입 · 인턴직","대학교(4년)↑","내일마감","인턴","면접 후 협의"
"(주)그린조이","(주)그린조이 관리부 정규직 채용 (경력무관)","https://www.saramin.co.krundefined","부산 기장군","신입 · 정규직 외","대학교(4년)↑","채용시","인턴","면접 후 협의"
"(주)커스텀그라운드","웹디자이너 경력사원 공개채용","https://www.saramin.co.krundefined","서울 서초구 외","1 ~ 13년 · 정규직 외","학력무관","~01.12(일)","인턴","면접 후 협의"
"(주)카카오엔터테인먼트","[카카오엔터테인먼트] 멜론티켓 정산 담당 어시스턴트","https://www.saramin.co.krundefined","경기 성남시 분당구","경력무관 · 인턴직","학력무관","D-2","인턴","2,600 만원"
"(주)엠에스","(주)엠에스  총무업무 및 사무보조 담당자 채용","https://www.saramin.co.krundefined","경기 포천시","경력무관 · 계약직 외","학력무관","~01.12(일)","인턴","면접 후 협의"
"스탠다드서플라이","[피노크 아난티점] 갤러리 큐레이터 / 인턴 채용","https://www.saramin.co.krundefined","부산 기장군","경력무관 · 정규직 외","학력무관","채용시","인턴","면접 후 협의"
"새빛회계법인","BS, MarCom Intern","https://www.saramin.co.krundefined","서울 용산구","경력무관 · 인턴직","대학교(4년)↑","D-2","인턴","면접 후 협의"
"(주)아주뉴스코퍼레이션","㈜아주뉴스코퍼레이션 인턴 채용 모집","https://www.saramin.co.krundefined","서울 종로구","신입 · 인턴직 외","대학교(4년)↑","내일마감","인턴","면접 후 협의"
"(주)불스원","불스원 전자상거래 담당 신입(인턴)사원 모집 - 채용연계형","https://www.saramin.co.krundefined","서울 강남구 외","신입 · 경력 · 인턴직","대학(2,3년)↑","~12.29(일)","인턴","면접 후 협의"
"케이씨(주)","[케이씨] 필름사업부 연구원 모집 (정규직전환형 인턴)","https://www.saramin.co.krundefined","전남 목포시","신입 · 인턴직","대학교(4년)↑","D-5","인턴","4,000 만원"
"(재)한국문화협회","(재)한국문화협회 남한강공원묘원 신입/경력 사원모집(사무직)","https://www.saramin.co.krundefined","경기 여주시","경력무관 · 인턴직","고졸↑","~01.09(목)","인턴","240 만원"
"(주)레브잇","Contents Design Intern","https://www.saramin.co.krundefined","서울 관악구","경력무관 · 인턴직","학력무관","~12.31(화)","인턴","면접 후 협의"
"네이버제트(주)","[네이버] NAVER Z 제페토 CX 크리에이터 운영 체험형 인턴","https://www.saramin.co.krundefined","경기 성남시 분당구","신입 · 인턴직","학력무관","D-7","인턴","면접 후 협의"
"에스케이플라즈마(주)","[SK] SK플라즈마 해외사업개발 신입(전환형 인턴) 모집","https://www.saramin.co.krundefined","경기 성남시 분당구","신입 · 정규직 외","대학교(4년)↑","D-5","인턴","면접 후 협의"
"(주)원영아이앤씨","평택 삼성전자 사내  네트워크 설치 공사 및 공사 인원 모집","https://www.saramin.co.krundefined","경기 평택시 외","신입 · 경력 · 정규직 외","고졸↑","~02.11(화)","인턴","면접 후 협의"
"(주)리콘랩스","서비스 오퍼레이터(Service Operator) 모집","https://www.saramin.co.krundefined","서울 강남구","신입 · 인턴직","학력무관","채용시","인턴","220 만원"
"(주)포컴퍼니","[포컴퍼니] 인사팀 채용 기획/운영 담당자 (경력/인턴)","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 정규직 외","학력무관","D-4","인턴","면접 후 협의"
"(주)더프라임그룹","무인 이송모빌리티 소프트웨어 엔지니어 정규 인원 모집","https://www.saramin.co.krundefined","경북 경산시","경력무관 · 정규직 외","학력무관","~01.11(토)","인턴","면접 후 협의"
"(주)창신아이엔씨","[창신] 2024년 12월 채용형인턴 수시채용 (TD)","https://www.saramin.co.krundefined","부산 사하구","신입 · 인턴직","대학교(4년)↑","D-4","인턴","면접 후 협의"
"(재)도서문화재단씨앗","[제3의 시간 도서관] 리셉션/총무 인턴","https://www.saramin.co.krundefined","서울 종로구","경력무관 · 인턴직","학력무관","~12.31(화)","인턴","면접 후 협의"
"에빈코리아(유)","경영지원/뷰티상품기획개발/구매개발/해외온라인 아마존MD/영상콘텐츠작가/온라인마케팅/영상제작PD(연출)","https://www.saramin.co.krundefined","서울 강남구 외","신입 · 경력 · 정규직 외","학력무관","~12.31(화)","인턴","면접 후 협의"
"(주)360퍼스펙티브","[화장품/주4.5일제] 온라인 마케팅 인턴 채용 공고","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 인턴직","대학교(4년)↑","상시채용","인턴","면접 후 협의"
"파마프런티어","제약 &amp; 바이오 GMP 및 밸리데이션 신입사원 및 경력자를 모십니.","https://www.saramin.co.krundefined","경기 용인시 기흥구","경력무관 · 정규직 외","학력무관","채용시","인턴","면접 후 협의"
"(주)카카오스타일","카카오스타일에서 '프로모션 마케터 인턴'을 모집합니다","https://www.saramin.co.krundefined","경기 성남시 분당구","경력무관 · 인턴직","학력무관","채용시","인턴","면접 후 협의"
"(주)셀디랩","[성장기업] 셀디랩 마케팅광고 촬영, 공간VMD 인턴 모집","https://www.saramin.co.krundefined","서울 강서구 외","경력무관 · 정규직 외","학력무관","D-5","인턴","면접 후 협의"
"(주)지온메디텍","[듀얼소닉/지온메디텍] 회계팀 채용","https://www.saramin.co.krundefined","경기 안양시 동안구","경력 5년↑ · 인턴직","대학(2,3년)↑","~01.11(토)","인턴","면접 후 협의"
"(주)엠바스","[부산] 자사 플랫폼 지원사업 사업기획 / 마케팅/홍보","https://www.saramin.co.krundefined","부산 연제구","경력무관 · 정규직 외","학력무관","~02.10(월)","인턴","면접 후 협의"
"비즈니스전략연구소㈜","정책기획 및 기술사업화 분야 사원 모집","https://www.saramin.co.krundefined","대전 유성구","경력무관 · 정규직 외","대학교(4년)↑","~12.28(토)","인턴","면접 후 협의"
"한영회계법인","세무부문 People Advisory Services팀 인턴","https://www.saramin.co.krundefined","서울 영등포구","신입 · 인턴직","대학교(4년)↑","D-4","인턴","면접 후 협의"
"(주)이에스지경영연구원","[ESG경영연구원 / 창원] 신산업 연계 청년일자리 창출사업","https://www.saramin.co.krundefined","경남 창원시","경력무관 · 인턴직","학력무관","D-7","인턴","207 만원"
"(주)코스모앤컴퍼니","[코스모앤컴퍼니]스포츠 아웃도어 영업마케팅 담당자(신입/경력)","https://www.saramin.co.krundefined","서울 강남구","신입 · 경력 · 정규직 외","대학(2,3년)↑","상시채용","인턴","면접 후 협의"
"(주)프롬해운","해상물류 포워딩 회계보조사원 공고","https://www.saramin.co.krundefined","서울 마포구","경력무관 · 인턴직","학력무관","~01.10(금)","인턴","면접 후 협의"
"(주)대학내일","[대학내일] 콘텐츠크리에이티브3팀 에디터 인턴(체험형)","https://www.saramin.co.krundefined","서울 마포구","신입 · 인턴직","학력무관","D-5","인턴","261 만원"
"(주)우리마트","매장영업직 정규직 신입/경력 모집","https://www.saramin.co.krundefined","경남 창원시 외","신입 · 경력 · 정규직 외","고졸↑","~12.31(화)","인턴","면접 후 협의"
"(주)밀버스","Tableau 엔지니어(신입 / 경력) 모집","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 정규직 외","대학교(4년)↑","~01.11(토)","인턴","면접 후 협의"
"한영회계법인","감사지원팀 (Audit Delivery Center) 조회서실 인턴 채용","https://www.saramin.co.krundefined","서울 영등포구","신입 · 인턴직","대학교(4년)↑","오늘마감","인턴","면접 후 협의"
"㈜금창","생산기술팀(자동화설비업무) 경력직 채용","https://www.saramin.co.krundefined","경북 영천시","경력 3년↑ · 정규직 외","학력무관","~01.11(토)","인턴","면접 후 협의"
"롯데상사(주)","롯데상사(주) 글로벌전략팀 Research Assistant 채용 (인턴)","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 인턴직","대학교(4년)↑","~02.10(월)","인턴","면접 후 협의"
"한국보훈복지의료공단","[광주보훈병원] 2025년 체험형 청년인턴 공개채용","https://www.saramin.co.krundefined","광주 광산구","경력무관 · 인턴직","학력무관","D-2","인턴","면접 후 협의"
"한국보훈복지의료공단","[광주보훈병원] 2025년 체험형 청년인턴(업무보조) 공개채용","https://www.saramin.co.krundefined","광주 광산구","경력무관 · 인턴직","학력무관","D-2","인턴","면접 후 협의"
"한국보훈복지의료공단","[광주보훈병원] 2025년 체험형 청년인턴(물리치료사) 공개채용","https://www.saramin.co.krundefined","광주 광산구","경력무관 · 인턴직","학력무관","D-2","인턴","면접 후 협의"
"한국보훈복지의료공단","[광주보훈병원] 2025년 체험형 청년인턴(임상병리사) 공개채용","https://www.saramin.co.krundefined","광주 광산구","경력무관 · 인턴직","학력무관","D-2","인턴","면접 후 협의"
"한국보훈복지의료공단","[광주보훈병원] 2025년 체험형 청년인턴(방사선사) 공개채용","https://www.saramin.co.krundefined","광주 광산구","경력무관 · 인턴직","학력무관","D-2","인턴","면접 후 협의"
"주식회사빈체레바이오헬스","신입/경력 직원 채용","https://www.saramin.co.krundefined","경북 포항시 북구","신입 · 경력 · 정규직 외","대학교(4년)↑","~01.10(금)","인턴","230 만원"
"(주)세샤트","전자책 콘텐츠 운영 매니저","https://www.saramin.co.krundefined","서울 마포구","신입 · 경력 · 정규직 외","학력무관","채용시","인턴","면접 후 협의"
"주식회사페어리멜로스","브랜딩 디자이너 모집 공고","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 정규직 외","대학(2,3년)↑","~01.10(금)","인턴","면접 후 협의"
"(주)에스이십칠","공연기획 매니저 모집","https://www.saramin.co.krundefined","서울 성동구","경력무관 · 계약직 외","학력무관","~01.10(금)","인턴","면접 후 협의"
"헤움디자인(주)","[폰트디자인] 폰트 디자이너 채용","https://www.saramin.co.krundefined","서울 광진구","경력무관 · 정규직 외","대학교(4년)↑","~12.26(목)","인턴","3,000 만원"
"(주)크레이버코퍼레이션","[ Craver ] 뷰티 브랜드 SKIN1004 일본 MD 담당 인턴 (채용형)","https://www.saramin.co.krundefined","서울 강남구 외","경력무관 · 인턴직","학력무관","~02.09(일)","인턴","면접 후 협의"
"(주)야놀자","Talent Acquisition Coordinator (6개월, 인턴)","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 인턴직","학력무관","채용시","인턴","면접 후 협의"
"케어캠프(주)","[케어캠프(주)] 영업관리 인턴 모집","https://www.saramin.co.krundefined","서울 서대문구 외","신입 · 인턴직","대학(2,3년)↑","D-4","인턴","면접 후 협의"
"(재)도서문화재단씨앗","[제3의 시간 도서관] 공간 운영 지원 인턴 채용","https://www.saramin.co.krundefined","서울 종로구","경력무관 · 인턴직","학력무관","~12.31(화)","인턴","면접 후 협의"
"케어캠프(주)","[케어캠프(주)] BD(사업개발) 인턴 모집","https://www.saramin.co.krundefined","서울 서대문구 외","신입 · 인턴직","대학교(4년)↑","D-4","인턴","면접 후 협의"
"(주)디엠씨미디어","[디엠씨미디어] 2025년 상반기 경력사원 공개채용 (경영)","https://www.saramin.co.krundefined","서울 강남구","4 ~ 10년 · 정규직 외","대학교(4년)↑","~12.30(월)","인턴","면접 후 협의"
"(주)디엠씨미디어","[디엠씨미디어]2025년 상반기 경력사원 공개채용(마케팅/리서치)","https://www.saramin.co.krundefined","서울 강남구","경력 2년↑ · 정규직 외","대학교(4년)↑","~12.30(월)","인턴","면접 후 협의"
"(주)디엠씨미디어","[디엠씨미디어] 2025년 상반기 경력사원 공개채용 (미디어 광고)","https://www.saramin.co.krundefined","서울 강남구","경력 4년↑ · 정규직 외","대학교(4년)↑","~12.30(월)","인턴","면접 후 협의"
"DS단석 평택1공장","DS단석 평택 품질보증팀(사무) 채용","https://www.saramin.co.krundefined","경기 평택시","신입 · 정규직 외","대학교(4년)↑","~12.29(일)","인턴","면접 후 협의"
"(주)엘로이랩","[서울/AI 초분광 솔루션] AI 연구소 채용 공고(상시)","https://www.saramin.co.krundefined","서울 구로구","신입 · 경력 · 정규직 외","대학교(4년)↑","~02.09(일)","인턴","면접 후 협의"
"DS단석 군산1공장","DS단석 군산1공장 품질보증사무직 모집","https://www.saramin.co.krundefined","전북 군산시","신입 · 경력 · 정규직 외","대학교(4년)↑","~01.10(금)","인턴","3,900 만원"
