"회사명","제목","공고링크","지역","마감일","가까운역"
"엠지신용정보(주)","[2호선 삼성역] 새마을금고중앙회 공제지원센터 고객센터 관리자","https://www.saramin.co.krundefined","서울 강남구","~12.31(화)","9봉은사역 도보 7분 이내"
"아이디병원","[아이디치과] 치과 코디네이터 채용","https://www.saramin.co.krundefined","서울 강남구","~01.11(토)","3신분당신사역 도보 7분 이내"
"(주)더블스윗","구매물류팀 신입 및 경력 채용","https://www.saramin.co.krundefined","경기 용인시 외","D-7","에버라인지석역 도보 7분 이내"
"디에이기획(주)","[온라인 마케팅 대행사] 마케팅 광고 기획자 채용중 (경력/신입)","https://www.saramin.co.krundefined","서울 동대문구 외","~01.15(수)","12우이신설신설동역 도보 12분 이내"
"(주)더비엔아이","서울 전략기획 컨설턴트 경력직 채용","https://www.saramin.co.krundefined","서울 강남구","D-4","7학동역 도보 3분 이내"
"(주)소만사","판교에서 함께 근무할 오픈스택 클라우드 플랫폼 개발자","https://www.saramin.co.krundefined","서울 영등포구","~12.29(일)","5영등포시장역 도보 7분 이내"
"(주)소만사","판교에서 함께 근무할 시스템 인프라 기술지원 엔지니어 채용","https://www.saramin.co.krundefined","서울 영등포구","~12.29(일)","5영등포시장역 도보 7분 이내"
"(주)소만사","판교에서 함께 근무할 가상화 SW 솔루션(VDI) 기술지원 엔지니어","https://www.saramin.co.krundefined","서울 영등포구","~12.29(일)","5영등포시장역 도보 7분 이내"
"(주)소만사","판교에서 함께 근무할 가상화 SW솔루션(VDI) 클라이언트 개발자","https://www.saramin.co.krundefined","서울 영등포구","~12.29(일)","5영등포시장역 도보 7분 이내"
"(주)테일러팜스","(주)테일러팜스 마케팅팀 상품PM (경력) 채용공고","https://www.saramin.co.krundefined","서울 강남구 외","채용시","9삼성중앙역 도보 7분 이내"
"팝성형외과의원","[압구정] 팝성형외과 코디네이터 채용","https://www.saramin.co.krundefined","서울 강남구","D-7","3압구정역 도보 7분 이내"
"둔산 에듀플렉스 심리상담연구소","에듀플렉스 둔산점 신입(인턴) 및 경력매니저 채용","https://www.saramin.co.krundefined","대전 서구 외","~01.09(목)","1시청역 도보 3분 이내"
"(주)고래사","[경력] 고래사 서울사무소 이커머스 영업관리직 채용공고","https://www.saramin.co.krundefined","서울 송파구","~01.11(토)","9석촌고분역 도보 12분 이내"
"(주)제노레이","[특별채용] 의료용 X-ray 제너레이터/HW/FW 경력 엔지니어","https://www.saramin.co.krundefined","서울 강남구","~12.29(일)","2삼성역 도보 7분 이내"
"토탈리빙(주)","2025년 상반기 조립, 생산, 제조가공, AS기술직 채용","https://www.saramin.co.krundefined","인천 부평구","~01.15(수)","인천1갈산역 도보 7분 이내"
"영풍지케이(주)","기술영업부 일반영업 신입/경력 채용","https://www.saramin.co.krundefined","서울 마포구","~01.15(수)","경의중앙가좌역 도보 12분 이내"
"(주)티엘에듀케이션","[학습매니저] 부산 에듀플렉스 학습매니저 채용 공고","https://www.saramin.co.krundefined","부산 동래구 외","~01.03(금)","3사직역 도보 7분 이내"
"(주)조인앤조인","[널담, 3년 이상 경력(과장급 이상)] 온라인 MD 경력직 채용","https://www.saramin.co.krundefined","서울 구로구","상시채용","2구로디지털단지역 도보 12분 이내"
"HNB 코퍼레이션","[세포라 협력 업체] 해외영업 - 화장품/뷰티","https://www.saramin.co.krundefined","서울 용산구","~01.16(목)","1경의중앙용산역 도보 7분 이내"
"(주)다래전략사업화센터","경영지원실 재무ㆍ회계ㆍ세무 담당 신입 · 경력직 모집","https://www.saramin.co.krundefined","서울 강남구","D-7","2역삼역 도보 7분 이내"
"먼데이모닝크리에이티브랩(주)","Kpop 문화콘텐츠 - 해외 엔터사업 실무 - 신입/경력","https://www.saramin.co.krundefined","서울 성동구","~01.17(금)","수인분당서울숲역 도보 3분 이내"
"에이스바이오팜(주)","부형제사업팀 기술영업 경력직 및 영업지원 신입 이상 채용","https://www.saramin.co.krundefined","서울 서초구","~01.06(월)","7내방역 도보 4분 이내"
"올빛뷰티라운지","[  올빚  뷰티라운지 ] 신입 &amp; 경력 뷰티 매니저 모집","https://www.saramin.co.krundefined","서울 강남구","~02.16(일)","3압구정역 도보 4분 이내"
"(주)바라스토","[통신공사] CCTV 유지보수 관리 채용 공고","https://www.saramin.co.krundefined","서울 성동구","~01.06(월)","2성수역 도보 7분 이내"
"(주)페슬","일본 IMC 마케팅 신입/경력직 모집","https://www.saramin.co.krundefined","서울 강남구","상시채용","2신분당강남역 도보 3분 이내"
"(재)우란문화재단","[우란문화재단] 전시팀 프로젝트 매니저 채용 공고","https://www.saramin.co.krundefined","서울 성동구","~01.05(일)","2성수역 도보 3분 이내"
"주식회사아는사람","금융을 아는사람 오핀스금융팀 팀장 모집(소수인원 모집)","https://www.saramin.co.krundefined","경남 양산시 외","~02.11(화)","2증산역 도보 3분 이내"
"(주)케이엔에스에듀","[대치동 영어학원 KNS] 온라인 사업부 콘텐츠 기획 채용","https://www.saramin.co.krundefined","서울 강남구","~01.17(금)","수인분당한티역 도보 12분 이내"
"(주)테스콤","[테스콤] 자동화분야 로봇제어 엔지니어 채용","https://www.saramin.co.krundefined","경기 고양시 일산동구","~01.09(목)","경의중앙서해곡산역 도보 15분 이내"
"(주)에스티에이테스팅컨설팅","시험인증(KOLAS) 기술책임자(팀장급) 인재채용","https://www.saramin.co.krundefined","서울 광진구","~12.31(화)","7자양역 도보 3분 이내"
"(주)퍼스트인코리아","[퍼스트인 본사] 거래처별 인사노무 관리 HR매니저 채용","https://www.saramin.co.krundefined","부산 부산진구 외","D-4","1범내골역 도보 1분 이내"
