"회사명","제목","공고링크","지역","마감일","가까운역"
"(사)전국장애인부모연대성동지회","성인발달장애인과 함께 할 주간활동서비스 선생님을 찾음.","https://www.saramin.co.krundefined","서울 성동구","~01.17(금)","2뚝섬역 도보 3분 이내"
"(주)제일엠앤에스","(주)제일엠앤에스 EPC 엔지니어링부문 EM팀 2D배관파트 담당","https://www.saramin.co.krundefined","서울 서초구","~01.17(금)","3신분당양재역 도보 7분 이내"
"디데이성형외과의원","디데이성형외과 상담실장 채용합니다.","https://www.saramin.co.krundefined","서울 강남구","~02.14(금)","3신분당신사역 도보 4분 이내"
"이치무역","[대전] 쇼핑몰 관리자 경력자 모집","https://www.saramin.co.krundefined","대전 서구","~02.16(일)","1시청역 도보 12분 이내"
"(주)딥다이브","[델피어] 북미 인플루언서 마케터(정규직/정규직 전환형 인턴)","https://www.saramin.co.krundefined","서울 서초구","내일마감","2신분당강남역 도보 4분 이내"
"(주)크레버스","CREVERSE 수학 강사 채용(초등&amp;중고등)","https://www.saramin.co.krundefined","서울 강남구 외","~01.11(토)","9구반포역 도보 7분 이내"
"㈜남전사","(주)남전사 생산관리직 신입사원 모집 (사세확장)","https://www.saramin.co.krundefined","경남 김해시","~12.31(화)","부산김해경전철김해대학역 도보 3분 이내"
"(주)테크웨이즈","[㈜테크웨이즈] 각 부문별 신입·경력사원 모집","https://www.saramin.co.krundefined","경기 용인시 수지구 외","~12.28(토)","신분당상현역 도보 7분 이내"
"이자경수학광교고등학원","광교관에서 초등 중등 고등 수학선생님 수학강사 구인합니다","https://www.saramin.co.krundefined","경기 용인시 수지구 외","~01.08(수)","신분당상현역 도보 1분 이내"
"(주)펄어비스","[펄어비스] 검은사막 온라인 게임플레이 프로그래머 모집","https://www.saramin.co.krundefined","경기 과천시","채용시","4인덕원역 도보 15분 이내"
"(주)한빛입찰","[업계 최고 인센티브 제도] 영업팀/분석팀 채용","https://www.saramin.co.krundefined","대구 달서구 외","~02.28(금)","2용산역 도보 7분 이내"
"(주)오뗄","식품 영업사원 신입 및 경력사원 채용","https://www.saramin.co.krundefined","서울 송파구","D-5","29종합운동장역 도보 15분 이내"
"주식회사 디이메디칼","[대구/경북] 의료기기 영업 사원 모집","https://www.saramin.co.krundefined","대구 달서구","~01.16(목)","1진천역 도보 7분 이내"
"(주)그로스체인","광고 콘텐츠 기획 &amp; 제작 마케터 딱 1명 채용","https://www.saramin.co.krundefined","경기 부천시 원미구 외","~01.15(수)","7신중동역 도보 7분 이내"
"(주)펄어비스","[펄어비스] 검은사막 PC/콘솔 러시아어 운영 담당자 모집","https://www.saramin.co.krundefined","경기 과천시","채용시","4인덕원역 도보 15분 이내"
"(주)오런","오런 카페-바 직원/베이킹 매니저 채용","https://www.saramin.co.krundefined","부산 사상구","~12.29(일)","우이신설삼양역 도보 7분 이내"
"(주)대웅제약","[대웅제약] ETC 제약영업 로컬 MR 경력채용(대구)","https://www.saramin.co.krundefined","서울 강남구","~12.29(일)","9봉은사역 도보 7분 이내"
"(주)대웅제약","[대웅제약] 12월 1차 수시채용","https://www.saramin.co.krundefined","서울 강남구","~12.29(일)","9봉은사역 도보 7분 이내"
"(주)용감한미녀들","[정규직/마곡,발산] 화장품 국내영업 담당자 채용 (과,차자급)","https://www.saramin.co.krundefined","서울 강서구","~02.15(토)","5발산역 도보 12분 이내"
"(주)맨파워그룹코리아","[잠실] 글로벌 상위 제약사 Medical Information Associate","https://www.saramin.co.krundefined","서울 송파구","~01.16(목)","28잠실역 도보 4분 이내"
"한국바이켐(주)","[화학제조업 생산직] 우수한 생산직 채용","https://www.saramin.co.krundefined","인천 남동구","~02.01(토)","인천1신연수역 도보 12분 이내"
"(주)맨파워그룹코리아","[역삼] 글로벌 진단기기업 Sales assistant 채용 (1Y)","https://www.saramin.co.krundefined","서울 강남구","~01.16(목)","2역삼역 도보 12분 이내"
"(사) 한국건강관리협회 강원특별자치도지부","한국건강관리협회 강원특별자치도지부 방사선사 채용","https://www.saramin.co.krundefined","강원 춘천시","D-4","경춘남춘천역 도보 15분 이내"
"(주)맨파워코리아","++[대구/수성구] 중견기업 본사 사무보조 추가 채용모집","https://www.saramin.co.krundefined","대구 수성구 외","~01.05(일)","3황금역 도보 3분 이내"
"휴머니아","[KB국민은행] 이촌 PB센터 VIP 리셉션 사원 채용","https://www.saramin.co.krundefined","서울 용산구","D-2","4경의중앙이촌역 도보 7분 이내"
"엔에이치엔(주)","[NHN] 게임 미디어 콘텐츠 크리에이터","https://www.saramin.co.krundefined","경기 성남시 분당구","채용시","경강선신분당판교역 도보 15분 이내"
"(주)용감한미녀들","[정규직/마곡,발산] 화장품 구매/생산 담당자 채용 (과,차장급)","https://www.saramin.co.krundefined","서울 강서구","~02.15(토)","5발산역 도보 12분 이내"
"휴머니아","[KB국민은행] 삼성역 PB센터 VIP 리셉션 사원 채용","https://www.saramin.co.krundefined","서울 강남구","D-2","2삼성역 도보 4분 이내"
"(주)맨파워그룹코리아","인천공항 화물터미널 반출입/검수 업무 담당자 채용","https://www.saramin.co.krundefined","인천 중구","~12.31(화)","공항공항화물청사역 도보 15분 이내"
"세무법인 백두(북인천지점)","2024년 세무법인 백두(북인천) 경력직원 채용공고","https://www.saramin.co.krundefined","인천 계양구 외","D-5","인천1임학역 도보 12분 이내"
"네이처플러스","국내/해외 마케팅 영업 경력사원 채용","https://www.saramin.co.krundefined","서울 강서구","~01.12(일)","9공항마곡나루역 도보 4분 이내"
"(주)제이앤비컨설팅","[속보-지원금多-신입환영-영업X] 하나카드 인바운드 상담사 채용","https://www.saramin.co.krundefined","광주 서구","채용시","1금남로5가역 도보 7분 이내"
"㈜덴티움","(주)덴티움 마케팅팀(PM) 인재채용","https://www.saramin.co.krundefined","경기 수원시 영통구","~01.12(일)","신분당광교역 도보 15분 이내"
"(주)디디에프엔비","프랜차이즈 본사 각부문별 채용","https://www.saramin.co.krundefined","서울 강남구 외","채용시","7학동역 도보 7분 이내"
"(주)맨파워그룹코리아","[서초구] 프랑스계 제약회사 Respiratory Medical Advisor (1Y)","https://www.saramin.co.krundefined","서울 서초구","~12.31(화)","379고속터미널역 도보 7분 이내"
"㈜덴티움","(주)덴티움 마케팅팀(PM) 인재채용","https://www.saramin.co.krundefined","경기 수원시 영통구","~01.12(일)","신분당광교역 도보 15분 이내"
"(주)디디에프엔비","프랜차이즈 본사 각부문별 채용","https://www.saramin.co.krundefined","서울 강남구 외","채용시","7학동역 도보 7분 이내"
"(주)맨파워그룹코리아","[서초구] 프랑스계 제약회사 Respiratory Medical Advisor (1Y)","https://www.saramin.co.krundefined","서울 서초구","~12.31(화)","379고속터미널역 도보 7분 이내"
"(주)실리콘투","[(주)실리콘투] 해외영업,해외마케팅 팀장급 채용 (경력 7년~)","https://www.saramin.co.krundefined","경기 성남시 분당구","상시채용","경강선신분당판교역 도보 12분 이내"
"(주)케어젠","[케어젠] 화장품개발부 제형연구팀원 정규직 채용","https://www.saramin.co.krundefined","경기 군포시 외","채용시","14금정역 도보 7분 이내"
"주식회사 디앤씨컴퍼니","디앤씨컴퍼니] 대전 SNS 홍보 마케팅 사업(Project Leader)모집","https://www.saramin.co.krundefined","대전 동구","~01.15(수)","1중앙로역 도보 12분 이내"
"(주)대웅제약","[대웅제약] ETC 제약영업 로컬 MR 경력채용(경기)","https://www.saramin.co.krundefined","서울 강남구","D-4","9봉은사역 도보 7분 이내"
"㈜덴티움","[덴티움] 임플란트 CS파트 인재 채용","https://www.saramin.co.krundefined","경기 수원시 영통구","~01.15(수)","신분당광교역 도보 15분 이내"
"(주)두베스트","영업관리(무역사무) 담당자 채용","https://www.saramin.co.krundefined","서울 마포구","~01.11(토)","6광흥창역 도보 12분 이내"
"(주)엔에이백신연구소","[경영기획본부] 경영지원 경력사원 채용","https://www.saramin.co.krundefined","서울 송파구","~01.03(금)","8문정역 도보 3분 이내"
"(주)메디쿼터스","[(주)메디쿼터스] RA 담당자","https://www.saramin.co.krundefined","서울 강남구 외","채용시","7학동역 도보 7분 이내"
"(주)넥스트플레이어","[넥스트플레이어] 브랜드 매니저 채용","https://www.saramin.co.krundefined","서울 성동구","~01.15(수)","수인분당서울숲역 도보 7분 이내"
"(주)실리콘투","[(주)실리콘투] B2B 해외영업 업무자 (폴란드파견가능자 우대)","https://www.saramin.co.krundefined","경기 성남시 분당구","상시채용","경강선신분당판교역 도보 12분 이내"
"(주)레메디","영업관리 (국내/해외) 경력사원 채용","https://www.saramin.co.krundefined","서울 영등포구","~01.11(토)","9선유도역 도보 3분 이내"
"(주)펜믹스","펜믹스 메디칼팀(RA) 신입 및 경력사원 모집","https://www.saramin.co.krundefined","서울 중구","~01.01(수)","5서대문역 도보 7분 이내"
"(주)맨파워그룹코리아","[언주역/연봉상위] 글로벌 프리미엄 가전기업 Sales Admin (6M)","https://www.saramin.co.krundefined","서울 강남구","채용시","9언주역 도보 3분 이내"
"(주)제이에스리드","[수유-진접,노원]인터넷가입센터 아웃바운드/인바운드 TM","https://www.saramin.co.krundefined","서울 강북구","채용시","4수유역 도보 7분 이내"
"(주)대웅제약","[대웅제약] 개발부문 CPL/CTA 경력/계약직 채용","https://www.saramin.co.krundefined","서울 강남구","~12.29(일)","9봉은사역 도보 7분 이내"
"그린코스(주)","그린코스(주) 해외영업팀 팀장(화장품 OEM, ODM) 채용","https://www.saramin.co.krundefined","서울 강서구","~01.15(수)","9가양역 도보 4분 이내"
"(주)아스타아이비에스","[분당 킨스타워] 보안대원 모집 3교대(주주야야비비)","https://www.saramin.co.krundefined","경기 성남시 분당구","~01.12(일)","수인분당신분당정자역 도보 3분 이내"
"㈜덴티움","덴티움 의료기기 품질검사 담당자 모집","https://www.saramin.co.krundefined","경기 용인시 기흥구","~01.31(금)","에버라인어정역 도보 15분 이내"
"크리스탈코브 주식회사","두피문신아카데미에서 접수 직원을 모집합니다","https://www.saramin.co.krundefined","광주 서구","~02.10(월)","1상무역 도보 4분 이내"
"(주)트랜스코스모스코리아","대한항공/국제선 예약발권 전문상담사 채용 (주간스케줄) KAe4","https://www.saramin.co.krundefined","서울 강서구 외","~01.13(월)","9공항마곡나루역 도보 4분 이내"
"(주)미래아이엔씨","[미래아이엔씨] 퍼포먼스 마케터 신입/경력 채용","https://www.saramin.co.krundefined","서울 금천구 외","상시채용","17가산디지털단지역 도보 4분 이내"
"(주)케이케이에스티","[KKST / 사세확장] CS (팀장 / 팀원) 채용 공고","https://www.saramin.co.krundefined","서울 강남구","~01.04(토)","7청담역 도보 12분 이내"
"(주)에이젝코리아","[ASAP/정규직] 수출입 사무직 / 신입급 채용","https://www.saramin.co.krundefined","서울 중구","~01.15(수)","12시청역 도보 3분 이내"
"(주)한미유나이티드","온라인몰  등록외 기타 관리 (MD) 경력자","https://www.saramin.co.krundefined","서울 용산구","~01.17(금)","6경의중앙효창공원앞역 도보 7분 이내"
"(주)솔레오코스메틱","화장품 ODM/OEM 국내외 영업 신입/경력직 채용(서울사무소)","https://www.saramin.co.krundefined","서울 강남구","D-2","3신분당양재역 도보 12분 이내"
"스페이스잇주식회사","여성의류 AISEL MD 인재 채용합니다 3호선 대청역 연결","https://www.saramin.co.krundefined","서울 강남구","상시채용","3대청역 도보 1분 이내"
"(주)제일엠앤에스","(주)제일엠앤에스 EPC 엔지니어링부문 EM팀 전기제어파트 제어","https://www.saramin.co.krundefined","서울 서초구","~01.17(금)","3신분당양재역 도보 7분 이내"
"햇빛병원","햇빛병원 콜센터 오후 근무하실 선생님 모집합니다","https://www.saramin.co.krundefined","서울 강북구","~01.17(금)","4미아사거리역 도보 4분 이내"
"(주)넵튠","[넵튠-서울지점] 엔플라이스튜디오 클라이언트 개발자 채용","https://www.saramin.co.krundefined","서울 강남구","상시채용","2수인분당선릉역 도보 12분 이내"
"(주)솔레오코스메틱","영업마케팅본부 마케팅 담당 신입/경력직 채용","https://www.saramin.co.krundefined","서울 강남구","~01.26(일)","3신분당양재역 도보 12분 이내"
"(주)해피문데이","해피문데이 브랜드 디자이너","https://www.saramin.co.krundefined","서울 성동구","채용시","2뚝섬역 도보 3분 이내"
"(주)메디쿼터스","[(주)메디쿼터스]일본CX담당자(NUGU)","https://www.saramin.co.krundefined","서울 강남구 외","~01.10(금)","7학동역 도보 7분 이내"
"(주)제일엠앤에스","(주)제일엠앤에스 EPC 엔지니어링부문 EM팀 전기제어파트 전기","https://www.saramin.co.krundefined","서울 서초구","~01.17(금)","3신분당양재역 도보 7분 이내"
"(사)전국장애인부모연대성동지회","성인발달장애인주간활동서비스선생님을찾습니다","https://www.saramin.co.krundefined","서울 성동구","~02.16(일)","2뚝섬역 도보 3분 이내"
"(주) 씨티라이프","쇼핑몰 물류팀 정규직 (상품포장/하역/재고관리)","https://www.saramin.co.krundefined","부산 사상구","~01.31(금)","2감전역 도보 12분 이내"
"(주)미래아이엔씨","[네이버/카카오 공식대행사] MA본부 온라인 마케팅 AE 모집","https://www.saramin.co.krundefined","서울 금천구 외","상시채용","17가산디지털단지역 도보 4분 이내"
"(주)노마","노마하우스 서비스, 고객상담 매니저 채용공고","https://www.saramin.co.krundefined","대구 중구","D-6","2경대병원역 도보 7분 이내"
"(주)유엔에이엔지니어링","신입 및 경력직원 채용공고","https://www.saramin.co.krundefined","경기 군포시 외","~12.28(토)","1군포역 도보 12분 이내"
"재영솔루텍(주)","재영솔루텍㈜ 부문별 인재 채용","https://www.saramin.co.krundefined","인천 연수구 외","~12.28(토)","수인분당호구포역 도보 15분 이내"
"대일건설(주)","건축현장 공무 직원 모집","https://www.saramin.co.krundefined","경기 안산시 단원구","~01.12(일)","4수인분당고잔역 도보 15분 이내"
"(주)에이통상","[(주)에이통상] 영업지원 AMD 경력채용","https://www.saramin.co.krundefined","경기 수원시 영통구","~01.15(수)","신분당광교역 도보 7분 이내"
"(주)시월기획","주식회사 시월기획 검색광고 마케터 채용(역삼본사)","https://www.saramin.co.krundefined","서울 강남구","채용시","2역삼역 도보 3분 이내"
"(주)지안에듀","경리· 출납· 일반 사무 &amp; CS 담당 경력자 모집","https://www.saramin.co.krundefined","서울 동작구","~01.16(목)","19노량진역 도보 7분 이내"
"(주)케이디지","[KDG/둔전] 용인 물류창고 물류팀 정규직 채용 (현장/발주파트)","https://www.saramin.co.krundefined","경기 용인시 처인구 외","~01.15(수)","에버라인둔전역 도보 12분 이내"
"(주)케이디지","[KDG/둔전] 영업지원 정규직 채용 (결제 CS/데이터 관리)","https://www.saramin.co.krundefined","경기 용인시 처인구 외","~01.15(수)","에버라인둔전역 도보 12분 이내"
