회사명,제목,공고링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보,가까운역,설립일,대표자명,업종,재무정보
NH농협은행(주),NH농협은행 양주시청(출) 파트타이머(사무지원직) 채용공고,https://www.saramin.co.krundefined,경기 양주시,경력무관 · 계약직,학력무관,신입,~ 12/21(토),"Javascript, Java, 웹개발, 백엔드/서버개발, 기술지원",면접 후 협의,12시청역 도보 7분 이내,2010년 09월 10일                                (업력 15년차),허진영,유선 온라인 게임 소프트웨어 개발 및 공급업,-
NH농협은행(주),NH농협은행 소비자보호부 일반계약직(비서) 채용,https://www.saramin.co.krundefined,서울 중구,경력무관 · 계약직,학력무관,신입,~ 05/14(수),"Javascript, Java, React, 백엔드/서버개발, Spring",면접 후 협의,1종로5가역 도보 12분 이내,2020년 07월 09일                                (업력 5년차),박정윤,응용 소프트웨어 개발 및 공급업,매출액 121.8억 영업이익 - 21.4억 (2023년 기준) 전체)
미래에셋자산운용(주),투자풀운용부문 투자풀사업팀 정규직 전환형 인턴사원(신입),https://www.saramin.co.krundefined,서울 종로구,신입 · 정규직 외,대학교(4년)↑,신입,~ 12/31(화),"Javascript, 프론트엔드, Java, 웹개발, CSS",면접 후 협의,3신분당양재역 도보 3분 이내,2008년 03월 31일                                (업력 17년차),배기식,응용 소프트웨어 개발 및 공급업,"매출액 2,154억 영업이익 - 269.4억 (2023년 기준) 전체)"
제이티인터내셔널코리아(주),Strategic Insights Trainee,https://www.saramin.co.krundefined,서울 종로구,경력무관 · 인턴직,대학교(4년)↑,신입,~ 12/29(일),"Javascript, 프론트엔드, Java, 웹개발, React",면접 후 협의,3남부터미널역 도보 7분 이내,2018년 02월 28일                                (업력 7년차),곽수용,시스템 소프트웨어 개발 및 공급업,-
국립공원공단,지리산국립공원전남사무소 기간제(환경관리) 직원 채용,https://www.saramin.co.krundefined,전남 구례군,경력무관 · 계약직,학력무관,신입,~ 12/31(화),"Javascript, 프론트엔드, Java, 백엔드/서버개발, 보안컨설팅",면접 후 협의,경의중앙경춘중랑역 도보 12분 이내,2019년 08월 23일                                (업력 6년차),김덕수/김의석/이석우,응용 소프트웨어 개발 및 공급업,-
미래에셋자산운용(주),주택도시기금운용부문 채권투자팀 정규직 전환형 인턴사원(신입),https://www.saramin.co.krundefined,서울 종로구,신입 · 정규직 외,대학교(4년)↑,신입,~ 01/09(목),"Javascript, 프론트엔드, Java, 웹개발, React",면접 후 협의,2신분당강남역 도보 3분 이내,2015년 01월 29일                                (업력 10년차),이동호/이주민,응용 소프트웨어 개발 및 공급업,-
안동시시설관리공단,2025년도 상반기 체험형 청년인턴 채용 공고,https://www.saramin.co.krundefined,경북 안동시,경력무관 · 인턴직,학력무관,신입,~ 12/29(일),"Javascript, Java, 웹개발, CSS, Spring",면접 후 협의,1종로5가역 도보 7분 이내,2020년 10월 05일                                (업력 5년차),김성훈,응용 소프트웨어 개발 및 공급업,매출액 46.1억 영업이익 - 189.1억 (2023년 기준) 전체)
(주)퍼슨,"㈜퍼슨 의약품 생산(제조/포장) 신입, 경력 채용",https://www.saramin.co.krundefined,충남 천안시 서북구,경력무관 · 정규직,고졸↑,신입,~ 12/29(일),"Javascript, 프론트엔드, 웹개발, React, CSS",면접 후 협의,수인분당수원시청역 도보 4분 이내,2017년 11월 02일                                (업력 8년차),김경엽,컴퓨터 프로그래밍 서비스업,-
국립공원공단,[변산반도] 2025년 변산반도국립공원 기간제(수익시설관리) 채용,https://www.saramin.co.krundefined,전북 부안군,경력무관 · 계약직,학력무관,신입,~ 12/29(일),"Javascript, 프론트엔드, 웹개발, CSS, HTML",면접 후 협의,2성수역 도보 1분 이내,1977년 08월 20일                                (업력 48년차),김용우,컴퓨터 프로그래밍 서비스업,-
한국화학연구원부설안전성평가연구소,제2024-6차 계약직(사업계약직) 공개채용 채용공고,https://www.saramin.co.krundefined,대전 유성구,경력무관 · 계약직,"대학(2,3년)↑",신입,~ 12/30(월),"Javascript, 프론트엔드, Java, 웹개발, React",면접 후 협의,6증산역 도보 7분 이내,2015년 12월 24일                                (업력 10년차),신호식,컴퓨터 프로그래밍 서비스업,매출액 674.1억 영업이익 - 333.2억 (2023년 기준) 전체)
