회사명,제목,공고링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보,가까운역,설립일,대표자명,업종,재무정보
(주)페이타랩,"[패스오더] 웹 프론트엔드 개발자 (JavaScript, React) (병역특례/산업기능요원/보충역/전직) (신입~10년 이하)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537254&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  강남구,신입·경력,학력무관,정규직,~ 01/03(금),"Javascript, 프론트엔드, 웹개발, React, CSS",회사내규에 따름,2수인분당선릉역 도보 12분 이내,1997년 03월 25일                                (업력 28년차),김대환,시스템 소프트웨어 개발 및 공급업,"매출액: 577억, 영업이익: 124.6억 (2023년 기준))"
(주)페이타랩,"[패스오더] 웹 프론트엔드 개발자 (JavaScript, React) (병역특례/산업기능요원/보충역/전직) (경력 11~20년 이하)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537255&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  강남구,경력 11~20년,학력무관,정규직,~ 01/03(금),"Javascript, 프론트엔드, 웹개발, React, CSS",회사내규에 따름,4평촌역 도보 15분 이내,2011년 03월 10일                                (업력 14년차),피터얀반데피트,응용 소프트웨어 개발 및 공급업,"매출액: 3.4조, 영업이익: 7,247.7억 (2023년 기준))"
(주)랩투마켓,"풀스택 Typescript 개발자 (자동화 장비 제어, javascript) 과장급 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49605220&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  강서구,경력 6~10년,초대졸↑,정규직,~ 01/15(수),"Javascript, 프론트엔드, 웹개발, 백엔드/서버개발, TypeScript",회사내규에 따름,2수인분당선릉역 도보 1분 이내,2001년 04월 02일                                (업력 24년차),윤명진,유선 온라인 게임 소프트웨어 개발 및 공급업,"매출액 8,813.4억, 영업이익: 6,708.7억 (2023년 기준))"
(주)랩투마켓,"풀스택 Typescript 개발자 (자동화 장비 제어, javascript) 대리급 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49605214&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  강서구,경력 2~5년,초대졸↑,정규직,~ 01/15(수),"Javascript, 프론트엔드, 웹개발, 백엔드/서버개발, TypeScript",회사내규에 따름,9공항마곡나루역 도보 7분 이내,2005년 10월 11일                                (업력 20년차),강대현/김정욱,유선 온라인 게임 소프트웨어 개발 및 공급업,"매출액: 2.9조, 영업이익: 8,055.2억 (2023년 기준))"
씨드로닉스(주),"Front-end 개발자 채용 (Javascript, React)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49607587&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  강남구,경력3년↑,학력무관,정규직,채용시,"Javascript, 프론트엔드, React, ReactJS, Redux",회사내규에 따름,3신분당양재역 도보 3분 이내,2002년 02월 22일                                (업력 23년차),허주환,응용 소프트웨어 개발 및 공급업,"매출액: 1,230.5억, 영업이익: 340.4억 (2023년 기준))"
(주)지란지교소프트,"[판교] Fullstack Engineer (PHP, JavaScript)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49388744&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,경기  성남시 수정구,경력3년↑,학력무관,정규직,채용시,"Javascript, 프론트엔드, Java, CSS, 솔루션",회사내규에 따름,경강선경기광주역 도보 7분 이내,2000년 04월 10일                                (업력 25년차),김윤구,응용 소프트웨어 개발 및 공급업,-
마이스터정보기술(주),(마포부근)증권 간편모드 개발(JavaScript),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49411081&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  마포구,경력6년↑,초대졸↑,계약직·프리랜서,~ 12/28(토),"Javascript, HTML, CSS3, Git, 소프트웨어개발",회사내규에 따름,1성균관대역 도보 7분 이내,2010년 07월 20일                                (업력 15년차),권기수/장윤중,응용 소프트웨어 개발 및 공급업,"매출액: 1.3조, 영업이익: 416.4억 (2023년 기준))"
마이스터정보기술(주),(마포부근)xx증권 HTS 클라이언트 맵화면 개발(Javascript),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49346814&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  마포구,경력6년↑,초대졸↑,프리랜서,~ 12/28(토),"Javascript, 클라이언트, 소프트웨어개발",회사내규에 따름,9공항마곡나루역 도보 7분 이내,1997년 03월 11일                                (업력 28년차),김택진/박병무,유선 온라인 게임 소프트웨어 개발 및 공급업,-
(주)제이브로,대규모사업 퍼블리싱(자바스크립트 구현)가능자 환영합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49608685&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  광진구,경력3년↑,학력무관,프리랜서,~ 01/16(목),"프론트엔드, 퍼블리셔, 소프트웨어개발",회사내규에 따름,5개화산역 도보 7분 이내,2002년 03월 06일                                (업력 23년차),배현섭,응용 소프트웨어 개발 및 공급업,-
가천대학교산학협력단,자바스크립트 FullStack 연구자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521956&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,인천  남동구,경력2년↑,대졸↑,기간제·계약직,~ 01/02(목),"Javascript, 웹개발, React, HTML, TypeScript",회사내규에 따름,2장산역 도보 3분 이내,2013년 08월 01일                                (업력 12년차),정우진,유선 온라인 게임 소프트웨어 개발 및 공급업,-
주식회사 프레버소프트,"설비 모니터링 솔루션 개발자(Java, Java Script, Html) 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49584858&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,경기  용인시 처인구,경력 3~6년,대졸↑,정규직,~ 01/12(일),"Java, CSS, HTML, 기술지원, 유지보수",회사내규에 따름,9공항마곡나루역 도보 7분 이내,2007년 03월 26일                                (업력 18년차),김창한,게임 소프트웨어 개발 및 공급업,-
(주)위니드소프트,"세종 웹디자이너(Java Script, HTML, CSS가능자) 경력자 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49455283&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,세종특별자치시,경력3년↑,학력무관,정규직,~ 12/22(일),"Java, CSS, HTML, 웹디자인, UI/UX디자인",회사내규에 따름,경강선신분당판교역 도보 15분 이내,2008년 05월 23일                                (업력 17년차),강창석,응용 소프트웨어 개발 및 공급업,"매출액: 606.8억, 영업이익: 76.9억 (2023년 기준)"
(주)현대퓨처넷,현대퓨처넷 2025년 상반기 각 부문 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49571285&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  강남구,신입·경력,대졸↑,정규직·인턴직,~ 12/23(월),"Javascript, 프론트엔드, Java, 웹개발, 백엔드/서버개발",회사내규에 따름,9공항마곡나루역 도보 7분 이내,2016년 07월 27일                                (업력 9년차),박정신,응용 소프트웨어 개발 및 공급업,"매출액: 792.3억, 영업이익 90.6억 (2023년 기준)"
상신브레이크(주),2025년 상신브레이크 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49606992&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,대구  달성군,신입·경력,대졸↑,정규직,~ 01/07(화),"Javascript, Java, HTML, SE(시스템엔지니어), 빅데이터",회사내규에 따름,9봉은사역 도보 3분 이내,1981년 08월 17일                                (업력 44년차),이경일,응용 소프트웨어 개발 및 공급업,-
(주)위즈코리아,㈜위즈코리아/㈜위즈COK '24년 하반기 신입/경력 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48464887&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  강서구,신입·경력,학력무관,정규직·병역특례,~ 12/31(화),"Javascript, 프론트엔드, Java, 웹개발, CSS",회사내규에 따름,9봉은사역 도보 3분 이내,2000년 01월 31일                                (업력 25년차),주영흠,시스템 소프트웨어 개발 및 공급업,매출액 126.2억 영업이익 10억 (2023년 기준) 전체)
디아이티(주),2024년 하반기 각 부문별 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49563660&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,경기  화성시,신입·경력,초대졸↑,정규직,~ 01/09(목),"Javascript, Java, 앱개발, 유지보수, SE(시스템엔지니어)",회사내규에 따름,2신분당강남역 도보 4분 이내,2003년 07월 01일                                (업력 22년차),김기배,응용 소프트웨어 개발 및 공급업,매출액 106억 영업이익 13.7억 (2023년 기준) 전체)
메리츠화재해상보험(주),2024년 메리츠화재 하반기 각 부문별 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525317&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울전체,신입·경력,초대졸↑,정규직·계약직,오늘마감,"Javascript, Java, HTML, Spring, SE(시스템엔지니어)",회사내규에 따름,3신분당신사역 도보 4분 이내,2000년 07월 11일                                (업력 25년차),권규석,응용 소프트웨어 개발 및 공급업,매출액 740.1억 영업이익 81.9억 (2023년 기준) 전체)
대한조선(주),2024년 하반기 경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49578297&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,전남  해남군,경력,초대졸↑,정규직,~ 12/27(금),"Javascript, Java, 데이터엔지니어, 보안컨설팅, 유지보수",회사내규에 따름,3압구정역 도보 4분 이내,2012년 05월 09일                                (업력 13년차),서종혁,응용 소프트웨어 개발 및 공급업,매출액 287.3억 영업이익 41.9억 (2023년 기준) 전체)
(주)엠씨넥스,각 분야 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49586437&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,인천  연수구,신입·경력,학력무관,정규직,~ 12/27(금),"Javascript, Java, 백엔드/서버개발, 유지보수, 정보보안",회사내규에 따름,1종각역 도보 7분 이내,2014년 08월 21일                                (업력 11년차),조종암/고평석,시스템 소프트웨어 개발 및 공급업,-
제닉스(주),제닉스(주) 각 부문별 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49562355&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,충남  천안시 서북구,신입·경력,학력무관,정규직,~ 12/24(화),"Javascript, Java, 백엔드/서버개발, 기술지원, 정보보안",회사내규에 따름,1평택지제역 도보 12분 이내,2019년 01월 03일                                (업력 6년차),권성택,응용 소프트웨어 개발 및 공급업,매출액 596억 영업이익 97.4억 (2023년 기준) 전체)
앰코테크놀로지코리아㈜,2024년 하반기 신입/경력사원 공채,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49567318&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,인천  연수구,신입·경력,대졸↑,정규직,~ 12/29(일),"Javascript, Java, 데이터엔지니어, 앱개발, DBA",회사내규에 따름,25충정로역 도보 1분 이내,2018년 04월 30일                                (업력 7년차),김민준/김영광,시스템 소프트웨어 개발 및 공급업,매출액 515.4억 영업이익: 183.4억 (2023년 기준) 전체)
(주)우진플라임,㈜우진플라임 부문별 인재채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49582494&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,충북  보은군,신입·경력,학력무관,정규직,~ 01/11(토),"Java, 웹개발, React, CSS, 백엔드/서버개발",회사내규에 따름,5강일역 도보 15분 이내,2000년 05월 16일                                (업력 25년차),강용성,시스템 소프트웨어 개발 및 공급업,매출액 352억 영업이익: 34.5억 (2023년 기준) 전체)
(주)케이티디에스,[kt ds] 2024년 각 부문별 경력사원 상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49444384&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  서초구,경력2년↑,학력무관,정규직·계약직,~ 02/28(금),"Javascript, 프론트엔드, Java, 웹개발, CSS",회사내규에 따름,에버라인삼가역 도보 7분 이내,2010년 07월 22일                                (업력 15년차),서형수,응용 소프트웨어 개발 및 공급업,-
(주)영신디엔씨,㈜영신디엔씨 각 부문 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534588&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  서초구,신입·경력,대졸↑,정규직·계약직,오늘마감,"Javascript, Java, CSS, HTML, H/W",회사내규에 따름,12시청역 도보 7분 이내,2000년 06월 08일                                (업력 25년차),조규곤,응용 소프트웨어 개발 및 공급업,-
(주)케이엘넷,각 부문 신입/경력 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529556&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  강남구,신입·경력,초대졸↑,정규직·계약직,~ 12/22(일),"Javascript, 프론트엔드, Java, 웹개발, HTML",회사내규에 따름,1종로5가역 도보 12분 이내,2004년 06월 28일                                (업력 21년차),이성호,응용 소프트웨어 개발 및 공급업,매출액 386.6억 영업이익 - 66.3억 (2023년 기준) 전체)
메이저월드(주),2024년 하반기 정시 채용(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536163&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  송파구,신입·경력,학력무관,정규직,오늘마감,"Javascript, 프론트엔드, Java, 웹개발, React",회사내규에 따름,3신분당양재역 도보 3분 이내,2017년 05월 08일                                (업력 8년차),김창구,응용 소프트웨어 개발 및 공급업,매출액 134.4억 영업이익 - 52.9억 (2023년 기준) 전체)
우리에프아이에스(주),우리에프아이에스 2024년 경력사원 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49587708&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  마포구,경력,학력무관,정규직,~ 12/22(일),"Javascript, Java, 웹개발, CSS, 백엔드/서버개발",회사내규에 따름,3남부터미널역 도보 7분 이내,1999년 07월 08일                                (업력 26년차),강원주,응용 소프트웨어 개발 및 공급업,-
(주)성원아이북랜드,[강남본사] 각 부문 신입/경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543337&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  서초구,신입·경력,초대졸↑,정규직·계약직,내일마감,"Javascript, 프론트엔드, Java, 웹개발, CSS",회사내규에 따름,경의중앙경춘중랑역 도보 12분 이내,1995년 03월 18일                                (업력 30년차),강석균,시스템 소프트웨어 개발 및 공급업,-
(주)교원,[교원그룹] 12월 정기채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49585866&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  중구,신입·경력,고졸↑,정규직·계약직,~ 12/22(일),"Javascript, Java, React, 데이터분석가, 데이터엔지니어",회사내규에 따름,2신분당강남역 도보 3분 이내,2010년 01월 13일                                (업력 15년차),정한섭,응용 소프트웨어 개발 및 공급업,-
이에이트(주),[코스닥 상장사] 이에이트 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48494926&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  송파구,신입·경력,학력무관,정규직·전문연구요원,~ 12/31(화),"Javascript, 프론트엔드, Java, React, CSS",회사내규에 따름,1종로5가역 도보 7분 이내,1998년 04월 16일                                (업력 27년차),이순형/이정아,시스템 소프트웨어 개발 및 공급업,-
(주)크리젠솔루션,[신입] 금융솔루션 개발 및 유지보수 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49598814&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  구로구,신입,초대졸↑,정규직,~ 01/16(목),"Javascript, 프론트엔드, Java, 웹개발, CSS",회사내규에 따름,수인분당수원시청역 도보 4분 이내,2013년 12월 02일                                (업력 12년차),김형태,기타 게임 소프트웨어 개발 및 공급업,"매출액 1,685.9억 영업이익 1,110.6억 (2023년 기준) 전체)"
(주)모스티소프트,(주)모스티소프트 2025년 신입직원 공개 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49594544&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  영등포구,신입,초대졸↑,정규직,~ 01/03(금),"Javascript, 프론트엔드, Java, 웹개발, CSS",회사내규에 따름,2성수역 도보 1분 이내,2001년 02월 07일                                (업력 24년차),홍우선,응용 소프트웨어 개발 및 공급업,-
(주)티엑스알로보틱스,2024년 하반기 상시채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49424016&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,경기  부천시,경력무관,학력무관,정규직,~ 12/22(일),"Javascript, 프론트엔드, Java, React, CSS",회사내규에 따름,6증산역 도보 7분 이내,1997년 03월 26일                                (업력 28년차),이흥복,응용 소프트웨어 개발 및 공급업,-
동아출판(주),동아출판㈜ 2024년 12월 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49582206&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  영등포구,경력,대졸↑,정규직·계약직,~ 12/29(일),"Javascript, 프론트엔드, Java, 웹개발, HTML",회사내규에 따름,5마포역 도보 7분 이내,1998년 04월 28일                                (업력 27년차),임병조,응용 소프트웨어 개발 및 공급업,매출액 786.5억 영업이익 - 3.7억 (2023년 기준) 전체)
(주)알엠에쓰플렛폼,JAVA 개발자 신입 및 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49593782&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  마포구,신입·경력,학력무관,정규직,~ 01/15(수),"Javascript, 프론트엔드, Java, 웹개발, 백엔드/서버개발",회사내규에 따름,26신당역 도보 7분 이내,1997년 07월 21일                                (업력 28년차),김태균,시스템 소프트웨어 개발 및 공급업,매출액 335.6억 영업이익 38억 (2023년 기준) 전체)
(주)아이지아이코리아,웹 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49607217&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  종로구,신입,대졸↑,정규직,~ 01/05(일),"Javascript, 프론트엔드, Java, 웹개발, HTML",회사내규에 따름,9봉은사역 도보 7분 이내,1998년 03월 11일                                (업력 27년차),조정일,응용 소프트웨어 개발 및 공급업,-
(주)일신비츠온,각부문 신입/경력 사원 공개채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49464757&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,경기  남양주시,신입·경력,고졸↑,정규직,~ 12/31(화),"Javascript, Java, Spring, ERP, AWS",회사내규에 따름,3신분당신사역 도보 7분 이내,1996년 08월 02일                                (업력 29년차),김상범/손원동,응용 소프트웨어 개발 및 공급업,매출액 360.4억 영업이익 30.4억 (2023년 기준) 전체)
동진상선(주),동진상선㈜ 전산팀 담당자(신입 or 경력) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49603742&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  중구,신입·경력,대졸↑,정규직,~ 12/29(일),"Javascript, Java, 웹개발, CSS, HTML",회사내규에 따름,에버라인지석역 도보 7분 이내,2010년 11월 29일                                (업력 15년차),김경채,응용 소프트웨어 개발 및 공급업,매출액 167.4억 영업이익 40.2억 (2023년 기준) 전체)
(주)희림종합건축사사무소,CM PJT현장/바이오에너지PJT현장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49551172&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울전체,신입·경력,학력무관,정규직·기간제,~ 12/31(화),"Javascript, 웹개발, 웹마스터, 퍼블리셔, 영상처리",회사내규에 따름,12우이신설신설동역 도보 12분 이내,1996년 04월 22일                                (업력 29년차),서수길/정찬용,시스템 소프트웨어 개발 및 공급업,-
청오디피케이(주),도미노피자 각 부문(자회사 포함) 공개 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49518346&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=c456222a-2353-4e8b-9e55-51177705898c,서울  강남구,신입·경력,학력무관,정규직,~ 12/27(금),"Javascript, 프론트엔드, Java, 웹개발, React",회사내규에 따름,7학동역 도보 3분 이내,2002년 06월 21일                                (업력 23년차),-,응용 소프트웨어 개발 및 공급업,-
동아화성(주),동아화성(주) 2024년 하반기 신입 및 경력직원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516721&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=323d99d6-7bb0-42be-b77f-b95ca307c9f3,경남  김해시,신입·경력,초대졸↑,정규직,~ 12/31(화),"Javascript, Java, ASP.NET, MSSQL, 총무",회사내규에 따름,5영등포시장역 도보 7분 이내,2005년 02월 24일                                (업력 20년차),이상훈,응용 소프트웨어 개발 및 공급업,-
(주)와치텍,25년 상반기 인재 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49551277&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=323d99d6-7bb0-42be-b77f-b95ca307c9f3,서울  영등포구,신입·경력,초대졸↑,정규직,~ 12/20(금),"Javascript, 프론트엔드, Java, 웹개발, 백엔드/서버개발",회사내규에 따름,5영등포시장역 도보 7분 이내,2003년 12월 30일                                (업력 22년차),박천오,응용 소프트웨어 개발 및 공급업,매출액 583.9억 영업이익 274.9억 (2023년 기준) 전체)
(주)디알텍,2024년 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49507897&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=323d99d6-7bb0-42be-b77f-b95ca307c9f3,경기  성남시 분당구,신입·경력,고졸↑,정규직,~ 12/31(화),"Javascript, HTML, 유지보수, 퍼블리셔, SE(시스템엔지니어)",회사내규에 따름,5영등포시장역 도보 7분 이내,2000년 03월 20일                                (업력 25년차),정삼용,시스템 소프트웨어 개발 및 공급업,-
(주)마더케이,[사업확장] 각 부문 신규 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48917246&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=323d99d6-7bb0-42be-b77f-b95ca307c9f3,경기  성남시 분당구,신입·경력,초대졸↑,정규직,~ 12/31(화),"Javascript, 프론트엔드, Java, 웹개발, 백엔드/서버개발",회사내규에 따름,5영등포시장역 도보 7분 이내,2006년 05월 10일                                (업력 19년차),이용노,응용 소프트웨어 개발 및 공급업,"매출액 3,074.9억 영업이익 59.5억 (2023년 기준) 전체)"
위드시스템(주),각 부문 신입 및 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49564492&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=323d99d6-7bb0-42be-b77f-b95ca307c9f3,경북  김천시,신입·경력,고졸↑,정규직,~ 12/31(화),"Javascript, Java, 앱개발, 네트워크, 임베디드",회사내규에 따름,9삼성중앙역 도보 7분 이내,2018년 12월 13일                                (업력 7년차),김헌,-,-
㈜타이호인스트,웹개발자 신입사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49575785&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=323d99d6-7bb0-42be-b77f-b95ca307c9f3,서울  구로구,신입,대졸↑,정규직,~ 12/26(목),"Javascript, 프론트엔드, Java, 웹개발, 백엔드/서버개발",회사내규에 따름,3압구정역 도보 7분 이내,2014년 01월 22일                                (업력 11년차),안드루앨버트파위그/제인캐서린포가티/조희제,-,"매출액  1,269.9억, 영업이익  112.8억 (2023년 기준)"
영남이공대학교,영남이공대학교 일반직원 공개채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525634&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=323d99d6-7bb0-42be-b77f-b95ca307c9f3,대구  남구,신입·경력,초대졸↑,정규직,~ 12/23(월),"Javascript, Java, 웹개발, 앱개발, SE(시스템엔지니어)",회사내규에 따름,1시청역 도보 3분 이내,2014년 04월 24일                                (업력 11년차),박찬암,시스템 소프트웨어 개발 및 공급업,매출액 99.7억 영업이익 30억 (2023년 기준) 전체)
지에스차지비(주),[GS차지비㈜] 하반기 각 부문 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49584563&location=ts&searchword=javascript&searchType=search&paid_fl=n&search_uuid=323d99d6-7bb0-42be-b77f-b95ca307c9f3,서울  서초구,신입·경력,학력무관,정규직·계약직,~ 12/31(화),"Javascript, 프론트엔드, Java, 웹개발, React",회사내규에 따름,9석촌고분역 도보 12분 이내,2015년 09월 01일                                (업력 10년차),김창원,시스템ㆍ응용 소프트웨어 개발 및 공급업,-
